GEOID,GEOG,F2000_POP,F2010_POP,F2020_POP,F2020_HH,F2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,F2000_WHITE,F2000_HISP,F2000_BLACK,F2000_ASIAN,F2000_OTHER,F2000_UND19,F2000_A20_34,F2000_A35_49,F2000_A50_64,F2000_OV65,F2000_MED_AGE,F2000_TOT_HH,F2000_OWN_OCC_HU,F2000_RENT_OCC_HU,F2000_VAC_HU,F2000_HU_TOT,F2000_LT_HS,F2000_HS,F2000_SOME_COLL,F2000_ASSOC,F2000_BACH,F2000_GRAD_PROF,F2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct,GlobalID
17031,Cook County,5376741,5194675,5275541,2086940,2.489377749000000,5265398,312408,964227,1176731,1056786,980967,455547,218495,100237,37.299999999999997,2192123,1346949,1192435,392743,141148,5176131,4244259,2809310,2603767,203970,1434949,2550520,287499,2263021,1492291,197933,404067,126305,42425,73969895,357375,832535,606249,248499,3656393,439740,820019,660520,246183,869960,619971,370516,368765,317344,252760,330041,405232,72121.000000000000000,41706.000000000000000,2044658,1175143,869515,209278,2253936,907611,118796,215305,237198,221214,106604,429026,18182,5.200000000000000,239893,589387,783686,640970,1960.000000000000000,458099,696022,715259,284956,99600,220277,461773,302952,172009,266800.000000000000000,842164,61913,207529,299060,221427,52235,1214.000000000000000,1892469,179898,152189,1828303,1768389,216355,2214875,Health Care,Professional,Retail Trade,Education,Accommodation and Food Service,307555,205333,203576,201536,188662,2453800,Health Care,Professional,Retail Trade,Education,Accommodation and Food Service,342034,242482,219849,217138,204937,Cook County,DuPage County,Lake County,Will County,Kane County,1730973,195730,83969,57378,34387,Cook County,DuPage County,Will County,Lake County,Kane County,1730973,174143,109250,106339,65257,2216958,2073558,2192974,13234.149009999999180,92978637153.000000000000000,74353221785.000000000000000,113426000000.000000000000000,51278546927.000000000000000,10294815539.000000000000000,450463353,5352790,0,175455000000.000000000000000,0.084669178000000,0.122172402000000,0.793158420000000,0.132588558000000,0.189624302000000,0.677787140000000,3.565778781000000,613010.327799999970011,181048.324900000006892,0.295343026000000,30647.817050000001473,0.049995597000000,2457.133877000000211,0.004008307000000,32512.416669999998703,0.053037307000000,35095.327960000002349,0.057250794000000,35940.801879999999073,0.058630010000000,158005.614399999991292,0.257753593000000,14237.428879999999481,0.023225431000000,99770.382880000004661,0.162754816000000,23295.079239999999118,0.038001120000000,684709,613454,302975,443520,1207289,171747,837369,242335,5976,18646,217713,442444,49187,86091,307166,313812,91942,111583,110287,981931,657556,240808,83567,4163385,1102013,4952990,1737297,673502,3215693,1020049,212400,66455,47051,48750,26946,66005,203120,46521,2558709,1071740,1390448,257843,98001,,,,,,,,,,,,,,,,,,,48,56,30,38,18,19,0.701581032000000,0.630756790000000,0.466251949000000,0.800829807000000,0.281762570000000,0.070886366000000,0.140050977000000,0.796808237000000,0.785890999000000,0.385234336000000,{7d393669-cabc-4bc8-a85c-b9c8e0d5f04b}
17043,DuPage County,904161,916924,932877,348216,2.639335929000000,934094,54019,181673,172124,184258,195134,89001,40585,17300,39.700000000000003,611293,135909,44575,114134,28183,921130,747437,516564,491295,24839,230873,482036,67401,414635,342749,30430,28214,8500,4742,12008720,14170,107032,153110,73073,642165,41827,116233,110570,48186,195225,130124,32346,45722,50584,44581,71015,103137,100292.000000000000000,50344.000000000000000,347385,254336,93049,16772,364157,215224,42858,3082,12885,23727,23123,42210,1048,6.200000000000000,43285,205378,94734,20760,1978.000000000000000,46115,86963,119043,88814,23222,22904,89474,93276,45821,324900.000000000000000,90285,2895,9534,37655,35322,4879,1433.000000000000000,332915,13864,14470,329487,323316,17898,442696,Health Care,Professional,Manufacturing,Retail Trade,Education,51840,46010,41754,41385,38970,592160,Health Care,Professional,Manufacturing,Retail Trade,Administration,69399,62256,57080,56698,52445,DuPage County,Cook County,Kane County,Will County,Lake County,191847,174143,22794,18665,10847,Cook County,DuPage County,Will County,Kane County,Lake County,195730,191847,62432,46465,16869,509741,509888,549311,18286.771769999999378,27261470408.000000000000000,23223268780.000000000000000,33550471794.000000000000000,7068088670.000000000000000,3376947830.000000000000000,59701008,2913618,0,44058122920.000000000000000,0.343723598000000,0.479333173000000,0.176943229000000,0.435075586000000,0.499875745000000,0.065048670000000,8.392836258999999,215329.537799999990966,74347.625920000005863,0.345273699000000,5332.395642000000407,0.024763884000000,37.890217139999997,0.000175964000000,13217.281329999999798,0.061381645000000,15750.411799999999857,0.073145617000000,12406.708959999999934,0.057617311000000,43536.335550000003423,0.202184689000000,2980.374757999999929,0.013840994000000,41935.306579999996757,0.194749439000000,5785.207006999999976,0.026866760000000,84817,115575,57827,89166,244430,20741,102955,20062,241,838,18983,53334,4601,9157,39576,50182,12703,17484,19995,217859,145593,53882,18384,751394,182700,880075,249637,77913,630438,93199,34170,11304,9638,7291,3351,21780,65248,3656,711966,81366,26977,70908,12944,,,,,,,,,,,,,,,,,,,58,68,37,46,21,23,0.073499533000000,0.052780486000000,0.575309096000000,0.837121936000000,0.739393933000000,0.282929759000000,0.235438049000000,0.165843437000000,0.193549946000000,0.255108286000000,{9e2f80d6-0848-430e-901f-a06fe2ccb1fd}
17089,Kane County,404119,515269,516522,180374,2.833191036000000,518648,31939,113311,94012,105360,102183,44171,20400,7272,38.000000000000000,291838,167111,26582,20273,12844,513180,403826,280718,266143,14473,123108,260290,28662,231628,194225,24224,5298,3682,4199,6654910,8095,46775,75910,50483,340859,47621,76989,68770,24885,78592,44002,19072,28715,28459,24570,37711,42736,88935.000000000000000,40661.000000000000000,181263,136135,45128,6589,187852,129947,22359,6660,6370,5849,5216,9910,1541,6.300000000000000,49717,73946,38737,25452,1983.000000000000000,15025,45960,65388,49163,12316,19578,66198,41208,8663,255900.000000000000000,43531,2736,9816,16716,12746,1517,1230.000000000000000,172937,11675,8326,167683,164410,13580,231707,Manufacturing,Health Care,Retail Trade,Education,Administration,29098,25653,24243,20203,18433,199115,Manufacturing,Education,Health Care,Retail Trade,Administration,32089,22411,21251,19443,17053,Kane County,Cook County,DuPage County,Lake County,Will County,77902,65257,46465,8587,7565,Kane County,Cook County,DuPage County,McHenry County,Will County,77902,34387,22794,13414,10338,164339,160955,176378,20240.222799999999552,9785732786.000000000000000,8057476229.000000000000000,12371599490.000000000000000,2116528421.000000000000000,1444944114.000000000000000,34901995,305202338,0,16273176358.000000000000000,0.480214600000000,0.322427076000000,0.197358324000000,0.537156815000000,0.284262595000000,0.178580591000000,9.865381545000000,335423.481700000003912,62133.774779999999737,0.185239788000000,1396.273476000000073,0.004162718000000,99.464803660000001,0.000296535000000,6601.058245999999599,0.019679774000000,9527.192224000000351,0.028403474000000,10260.522699999999531,0.030589757000000,34569.182860000000801,0.103061308000000,165424.526199999992969,0.493181113000000,33830.467759999999544,0.100858973000000,11581.018679999999222,0.034526559000000,40200,55946,29530,55587,131546,15237,49717,12373,314,780,11279,32914,3660,6877,22377,28324,8600,9684,10040,104629,69389,27258,7982,430016,88632,486709,152141,55656,334568,125228,5485,955,2765,1226,701,4849,9785,1147,273390,95924,22477,7142,5186,,,,,,,,,,,,,,,,,,,56,66,33,41,23,25,0.183236462000000,0.167589926000000,0.422241100000000,0.821273926000000,0.639633726000000,0.297953191000000,0.282990376000000,0.207187194000000,0.172587222000000,0.214740109000000,{677eccb1-a99a-44ea-a863-9083ffc8efe6}
17093,Kendall County,54544,114736,131869,43534,3.019869527000000,130757,8289,32355,23180,31440,21959,8784,3450,1300,35.799999999999997,87114,26347,9979,3778,3539,130431,97972,71157,68073,3030,26815,66664,6835,59829,53533,4532,760,319,685,2028530,887,8978,19631,13729,83167,5307,20500,18382,9652,19348,9978,2677,4237,7403,6843,11900,10165,101816.000000000000000,38343.000000000000000,43225,36363,6862,1218,44443,34397,6381,301,1069,379,1253,572,91,6.900000000000000,22955,14503,4666,2319,2000.000000000000000,1914,6785,17327,15310,3107,2684,23026,9498,1052,255400.000000000000000,6767,110,1693,1105,3579,280,1600.000000000000000,42122,2174,1103,40839,40229,2386,64592,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,7656,7340,6732,6183,4870,25854,Retail Trade,Education,Accommodation and Food Service,Manufacturing,Construction,4750,4591,2859,2069,2058,Cook County,DuPage County,Kane County,Kendall County,Will County,15959,15343,9736,8097,7407,Kendall County,Kane County,Will County,Cook County,DuPage County,8097,3342,3329,2512,2098,n/a,n/a,n/a,23780.013879999998608,2260394548.000000000000000,1824160877.000000000000000,3185074057.000000000000000,342057289.000000000000000,89401576.000000000000000,8516280,156030769,0,3781079971.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.894486223000000,0.105513777000000,0.000000000000000,8.872624105000000,206349.589000000007218,21119.767319999999017,0.102349452000000,156.739966399999986,0.000759585000000,33.176239340000002,0.000160777000000,1713.938268999999991,0.008305993000000,1833.127674000000070,0.008883602000000,2076.924035999999887,0.010065075000000,10757.953310000000783,0.052134600000000,157235.789400000008754,0.761987413000000,6094.207687000000078,0.029533413000000,5327.965057000000343,0.025820090000000,7388,12602,7352,15883,33954,3851,9271,1702,0,5,1697,4843,784,944,3115,7370,1586,2066,3718,28908,16430,9679,2799,118635,12122,122468,22099,6443,100369,15872,1101,606,511,87,105,383,3008,426,48677,4086,693,479,609,,,,,,,,,,,,,,,,,,,59,70,36,44,24,26,0.000000000000000,0.000000000000000,0.467191763000000,0.840343106000000,0.549869194000000,0.274436084000000,0.326738420000000,0.000000000000000,0.000000000000000,0.173833712000000,{d864d743-c1de-4fe1-8baf-76eb13f67d30}
17097,Lake County,644356,703462,714342,253386,2.740388182000000,714484,39917,154954,129356,138658,148709,62704,27445,12741,38.500000000000000,428289,159640,46346,58331,21878,695686,564657,386409,355739,20605,178248,358325,45081,313244,258310,29443,13453,8012,4026,9315695,12524,70262,110695,59250,469459,43130,94568,83838,30472,126816,90635,28546,35725,34553,30814,47055,76038,97127.000000000000000,49440.000000000000000,252731,186542,66189,15777,268508,179154,27293,7056,8495,9693,12074,20154,4589,6.300000000000000,48510,133264,62896,23838,1981.000000000000000,23819,63626,91059,70350,19654,33448,67186,47445,35748,279500.000000000000000,63656,3479,14901,22062,19015,4199,1286.000000000000000,241664,14179,11067,237827,233300,14904,306375,Manufacturing,Health Care,Retail Trade,Education,Professional,41225,33863,32120,27012,25526,310996,Manufacturing,Retail Trade,Health Care,Education,Administration,54364,35223,30246,28432,24079,Lake County,Cook County,DuPage County,McHenry County,Kane County,144728,106339,16869,7554,4475,Lake County,Cook County,McHenry County,DuPage County,Kane County,144728,83969,20280,10847,8587,271033,272836,279856,19458.548969999999827,16333189023.000000000000000,13737052234.000000000000000,22019350369.000000000000000,4198557936.000000000000000,1113628108.000000000000000,38170280,153674150,0,27523380843.000000000000000,0.519255380000000,0.349337305000000,0.131407314000000,0.668403288000000,0.280981114000000,0.050615598000000,9.494061609999999,301189.694399999978486,99410.166819999998552,0.330058328000000,2971.559088999999858,0.009866072000000,132.810108399999990,0.000440952000000,12792.109150000000227,0.042471935000000,11654.696260000000620,0.038695535000000,7824.479973000000427,0.025978578000000,49810.518499999998312,0.165379226000000,40409.204219999999623,0.134165295000000,57867.629240000002028,0.192130177000000,18316.520990000000893,0.060813903000000,58195,83739,41705,69092,182704,19068,70027,17930,624,1130,16176,42123,4399,8173,29551,34110,9517,12656,11937,153297,103715,34961,14621,581208,133276,674567,197557,65001,477010,117740,19613,7894,6761,1706,5007,11445,24626,2765,472968,92716,43580,24866,10226,,,,,,,,,,,,,,,,,,,61,73,39,48,23,24,0.060731392000000,0.029234344000000,0.525862614000000,0.824791925000000,0.621153519000000,0.342661748000000,0.264099221000000,0.116021885000000,0.162702908000000,0.247557289000000,{4e281dfc-cfe1-435b-9b98-8a37d507780b}
17111,McHenry County,260077,308760,310229,114282,2.698465200000000,310749,16737,63797,53132,61486,69560,28732,12141,5164,40.399999999999999,246990,42981,4552,8346,7880,308871,247186,174081,165199,8828,73105,162382,17853,144529,128052,10583,2872,1496,1526,4528510,4292,27962,51082,31110,212180,13717,55145,48787,19873,49808,24850,10512,16579,17745,16053,25291,28266,93801.000000000000000,43047.000000000000000,114446,93244,21202,5019,119465,92343,12222,1865,2921,4652,1993,2606,863,6.600000000000000,29716,59142,21229,9378,1989.000000000000000,6586,26080,47947,32124,6728,14487,51219,23636,3681,241500.000000000000000,20310,1055,4583,7693,6426,553,1253.000000000000000,110677,4375,3769,109759,108104,4687,149668,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19572,16580,15432,14393,10821,85811,Manufacturing,Retail Trade,Education,Health Care,Accommodation and Food Service,14232,11322,10111,8430,7311,McHenry County,Cook County,Lake County,Kane County,DuPage County,45647,43410,20280,13414,12027,McHenry County,Cook County,Lake County,Kane County,DuPage County,45647,8292,7554,6754,2178,76159,76677,79685,20561.871830000000045,5507145902.000000000000000,4491083823.000000000000000,7803429563.000000000000000,1010956036.000000000000000,354839730.000000000000000,20365746,332107253,12664686,9534363014.000000000000000,0.834881351000000,0.149368112000000,0.015750537000000,0.773383138000000,0.221485382000000,0.005131480000000,11.393322680000001,391049.351100000028964,68911.367960000003222,0.176221666000000,660.687878299999966,0.001689526000000,134.474541499999987,0.000343881000000,4920.479148999999779,0.012582757000000,4788.218759000000318,0.012244538000000,9050.378359000000273,0.023143827000000,28319.016729999999370,0.072418012000000,218735.075899999996182,0.559354146000000,38312.403030000001309,0.097973320000000,17217.248780000001716,0.044028327000000,23625,39347,20121,31353,85663,9065,28783,6998,347,199,6452,19065,2380,4053,12632,17454,4807,6237,6410,69424,46670,18130,4624,283400,27349,294012,40587,13138,253425,25440,5370,420,2036,254,607,1356,4769,335,233026,19602,1379,3734,2336,,,,,,,,,,,,,,,,,,,58,69,34,43,24,26,0.003626891000000,0.010107256000000,0.443022128000000,0.847734351000000,0.584058027000000,0.343997648000000,0.276778624000000,0.016168574000000,0.014431965000000,0.179638524000000,{57190801-8582-4787-b936-d726194710cc}
17197,Will County,502266,677560,696355,240009,2.865563375000000,696403,39619,151735,126318,146110,140811,57091,25149,9570,38.299999999999997,432036,126302,78222,39220,20623,687576,546067,375919,356227,19454,170148,349596,32857,316739,274185,24086,11120,2943,4405,10282850,8124,58730,103125,67064,460589,39246,119617,99135,39685,103790,59116,22503,32927,35872,32338,52979,60424,95751.000000000000000,40493.000000000000000,237043,193653,43390,12358,249401,186346,29275,5458,5403,5080,5706,8849,3284,6.500000000000000,75429,113714,42554,17704,1991.000000000000000,14670,47754,100677,71454,14846,30058,95984,52875,14041,249400.000000000000000,40865,2230,10073,14845,11691,2026,1229.000000000000000,226533,13910,10510,221647,217404,15396,325882,Health Care,Retail Trade,Education,Manufacturing,Professional,40867,33940,31054,29869,23845,239152,Retail Trade,Transportation,Health Care,Manufacturing,Education,27756,27138,24159,24011,23286,Cook County,Will County,DuPage County,Kane County,Lake County,109250,104871,62432,10338,5790,Will County,Cook County,DuPage County,Kane County,Kendall County,104871,57378,18665,7565,7407,120130,167339,219011,21794.005669999998645,14256241119.000000000000000,12232023838.000000000000000,17832377141.000000000000000,2224293641.000000000000000,3444911003.000000000000000,86447808,337945500,2500,23925977593.000000000000000,0.683381014000000,0.263854623000000,0.052764363000000,0.655506847000000,0.285712786000000,0.058780366000000,9.226804711000000,543447.265200000023469,86688.101760000005015,0.159515205000000,1192.448153000000048,0.002194230000000,123.879659700000005,0.000227952000000,10315.721919999999955,0.018982011000000,13299.293770000000222,0.024472096000000,22527.707880000001751,0.041453347000000,68524.031700000006822,0.126091410000000,253133.931000000011409,0.465792998000000,62348.705939999999828,0.114728162000000,25293.443350000001374,0.046542590000000,49153,72846,43726,71318,177382,18144,59661,13868,270,760,12838,38067,4724,7748,25595,35455,10454,11992,13009,145152,95473,37611,12068,610361,86042,656784,134889,48966,521895,81806,11211,2953,4948,4406,954,7866,18228,2517,388523,43768,51980,11021,6974,,,,,,,,,,,,,,,,,,,57,68,34,43,23,25,0.060721161000000,0.053615831000000,0.434245997000000,0.822065996000000,0.545077619000000,0.314750833000000,0.358456362000000,0.050715610000000,0.059583996000000,0.180561082000000,{e8a12717-9008-41dd-b099-ae79069de46b}
99999999,Region,8146264,8431386,8577735,3266741,2.585838608000000,8570533,502928,1662052,1774853,1724098,1659323,746030,347665,153584,37.871572360000002,4289683,2005239,1402691,636825,236095,8433005,6851404,4614158,4306443,295199,2237246,4229813,486188,3743625,2743345,321231,465784,151257,62008,118789110,405467,1152274,1119802,543208,5864812,630588,1303071,1090002,418936,1443539,978676,486172,532670,491960,407959,575992,725998,81101.930590000003576,43127.705959999999322,3220751,2075416,1145335,267011,3487762,1745022,259184,239727,274341,270594,155969,513327,29598,6.033901934000000,509505,1189334,1048502,740421,1968.882423999999901,566228,973190,1156700,612171,179473,343436,854860,570890,281015,267795.076899999985471,1107578,74418,258129,399136,310206,65689,1238.224551999999903,3019317,240075,201434,2935545,2855152,285206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358360,3261253,3497215,15652.721610000000510,168383000000.000000000000000,137918000000.000000000000000,210188000000.000000000000000,68239028920.000000000000000,20119487900.000000000000000,698566470,1293226418,12667186,300551000000.000000000000000,0.255384595000000,0.206084648000000,0.538530757000000,0.305152600000000,0.247633994000000,0.447213407000000,5.784009593000000,2605799.246999999973923,593659.129500000039116,0.227822281000000,42357.921260000002803,0.016255251000000,3018.829447000000073,0.001158504000000,82073.004740000003949,0.031496288000000,91948.268450000003213,0.035286014000000,100087.523799999995390,0.038409530000000,393522.653099999995902,0.151018024000000,852156.330399999977089,0.327023017000000,340159.103100000007544,0.130539259000000,106816.483099999997648,0.040991831000000,948087,993509,503236,775919,2062968,257853,1157783,315268,7772,22358,285138,632790,69735,123043,440012,486707,139609,171702,175396,1701200,1134826,422329,144045,6938399,1632134,8067605,2534207,940619,5533398,1479334,289350,90587,73710,63720,37671,113684,328784,57367,4687259,1409202,1537534,375993,136276,,,,,,,,,,,,,,,,,,,,,,,,,0.461236764000000,0.418925473000000,0.477001483000000,0.811871411000000,0.417561663000000,0.162817516000000,0.191050305000000,0.531988425000000,0.552026239000000,0.319667798000000,{d803406e-30e0-4ee7-985d-a638525a7a18}
