GEOID,GEOG,F2000_POP,F2010_POP,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,F2000_WHITE,F2000_HISP,F2000_BLACK,F2000_ASIAN,F2000_OTHER,F2000_UND19,F2000_A20_34,F2000_A35_49,F2000_A50_64,F2000_OV65,F2000_MED_AGE,F2000_TOT_HH,F2000_OWN_OCC_HU,F2000_RENT_OCC_HU,F2000_VAC_HU,F2000_HU_TOT,F2000_LT_HS,F2000_HS,F2000_SOME_COLL,F2000_ASSOC,F2000_BACH,F2000_GRAD_PROF,F2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,pop_25plus,assoc_plus,assoc_plus_pct,total_acres,impervious_acres,impervious_pct,households,impervious_acres_per_hh,wrkrs_16plus,nonsov,nonsov_pct,mean_person_accessible_acres_pe,median_person_accessible_acres_,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,modhigh_ta_pop,modhigh_ta_pop_pct,total_emp,modhigh_ta_emp,modhigh_ta_emp_pct,lota_popemp_pct,modta_popemp_pct,hita_popemp_pct,highly_walkable_pop,highly_walkable_pop_pct,highly_walkable_emp,highly_walkable_emp_pct,lowalk_popemp_pct,modwalk_popemp_pct,hiwalk_popemp_pct,med_walk_pop,med_walk_emp,med_walk_popemp,pop_20_64,in_lbr_frc,in_lbr_frc_pct,GlobalID
17031,Cook County,5376741,5194675,5198275,322193,946085,1191506,1032143,965178,421947,221513,97710,36.799999999999997,2198122,1314796,1199175,375635,110547,5106417,4180927,2761811,2567330,193007,1419116,2517713,123570,2394143,1539061,200588,480559,136631,37304,80065855,351428,798186,588020,234474,3587576,461880,829451,666607,237123,825673,566842,401095,386225,310795,240315,301087,332591,64660,37552.000000000000000,1972108,1122584,849524,221230,2193338,882569,116609,212673,234507,220133,102538,408192,16117,5.100000000000000,211067,564664,779006,638601,1959,440682,691386,696719,274154,90397,252285,445597,262380,146940,246600.000000000000000,824837,67065,259583,282009,180121,36059,1123,1761565,138414,210543,1683254,1605588,288854,2203018,Health Care,Retail Trade,Professional,Education,Accommodation and Food Service,299724,207947,200619,199324,190308,2431587,Health Care,Professional,Retail Trade,Accommodation and Food Service,Education,331370,240027,225197,206623,204697,Cook County,DuPage County,Lake County,Will County,Kane County,1708891,194933,84755,67009,34221,Cook County,DuPage County,Will County,Lake County,Kane County,1708891,175891,108850,105879,65060,2216958,2004132,2265323,14123.234409999999116,66205004950.000000000000000,48894117610.000000000000000,108000000000.000000000000000,49492374696.000000000000000,9419967971.000000000000000,427635930,5378006,0,167000000000.000000000000000,0.084669178000000,0.122172402000000,0.793158420000000,0.150311395000000,0.211407782000000,0.638280823000000,3.565778781000000,612997.425700000021607,181121.427399999985937,0.295468496000000,30646.618920000000799,0.049994694000000,2463.091571999999815,0.004018111000000,32562.603340000001481,0.053120294000000,35327.502249999997730,0.057630751000000,35907.805430000000342,0.058577416000000,157571.786699999996927,0.257051302000000,14826.006769999999960,0.024186083000000,98954.758300000001327,0.161427690000000,23615.825130000001081,0.038525162000000,647474,594519,293712,436403,1183272,170209,788836,264285,6975,20563,236747,471656,53722,102144,315790,307471,99427,109726,98318,868662,588130,212550,67982,4099447,1098828,4876082,1720467,670652,3155615,1012973,205657,65688,46113,48654,25746,63619,207081,44936,2558709,1071740,1390448,257843,98001,,,,,,,,,,,,,,,,,,,48,56,30,38,18,19,3587576,1629638,0.454244872000000,613690.402299999957904,262617.918799999984913,0.427932257000000,1979369.007999999914318,0.132677595000000,2517713,941348,0.373890114000000,3.565778781000000,1.951230703000000,0.281762570000000,0.070886366000000,4146057,0.796808237000000,2613197,2053688,0.785890999000000,0.084669178000000,0.122172402000000,0.793158420000000,3396688.881000000052154,0.659900794000000,1542618.543999999994412,0.595333693000000,0.150311395000000,0.211407782000000,0.638280823000000,High,High,High,3188827,2542427,0.797292233000000,{0e263670-d3bd-4851-8f88-0311ecb85f79}
17043,DuPage County,904161,916924,929060,54850,180581,175635,182593,196013,82511,39108,17769,39.299999999999997,621563,132597,43661,109752,21487,916050,742131,512716,491547,20833,229415,482644,33135,449509,368745,32345,35262,9148,4009,13376225,14175,104895,153560,70161,635683,44483,115986,114852,46417,189386,124559,36629,52039,50184,44438,69190,90311,92809,46272.000000000000000,342791,251502,91289,17516,360307,213688,43168,3428,11015,23823,23334,41013,838,6.200000000000000,38149,208330,93121,20707,1978,44304,86581,119627,88298,21497,26419,94544,85929,41630,308500.000000000000000,88189,3215,14939,38249,28506,3280,1316,321368,12546,21423,317923,310878,24868,447034,Health Care,Professional,Retail Trade,Manufacturing,Education,52677,46562,43073,41944,38584,590373,Health Care,Professional,Retail Trade,Manufacturing,Wholesale Trade,67923,61409,58780,57882,52917,DuPage County,Cook County,Kane County,Will County,Lake County,192885,175891,22552,19685,11246,Cook County,DuPage County,Will County,Kane County,Lake County,194933,192885,61803,46233,16811,509741,484910,554155,20877.919079999999667,20167164528.000000000000000,16459948936.000000000000000,31496325128.000000000000000,6746739422.000000000000000,3165669131.000000000000000,48741659,2602990,0,41460078330.000000000000000,0.343723598000000,0.479333173000000,0.176943229000000,0.600896586000000,0.384734911000000,0.014368503000000,8.392836258999999,215303.803799999994226,74282.901320000004489,0.345014347000000,5260.155106000000160,0.024431315000000,56.375391100000002,0.000261841000000,13113.864620000000286,0.060908653000000,15712.081379999999626,0.072976330000000,12105.537969999999405,0.056225379000000,43600.544309999997495,0.202507079000000,3350.066474000000198,0.015559718000000,42056.451170000000275,0.195335384000000,5765.826027000000067,0.026779954000000,85840,112234,56207,88510,239160,20443,103631,22785,332,1158,21295,60648,5342,11152,44154,49720,13929,17577,18214,203168,136771,50009,16388,751453,177607,874210,240332,76859,633878,91818,29833,12086,9928,5824,2901,20421,64187,3334,711966,81366,26977,70908,12944,,,,,,,,,,,,,,,,,,,58,68,37,46,21,23,635683,360362,0.566889472000000,215475.171299999987241,74173.542939999999362,0.344232435000000,342630.240300000004936,0.216482768000000,482644,109890,0.227683344000000,8.392836258999999,6.570551595000000,0.739393933000000,0.282929759000000,154012,0.165843437000000,620708,120138,0.193549946000000,0.343723598000000,0.479333173000000,0.176943229000000,16810.801279999999679,0.018255347000000,5263.501307000000452,0.008552587000000,0.600896586000000,0.384734911000000,0.014368503000000,Low,Low,Low,554241,461967,0.833512858000000,{f2581dd7-d017-4401-a796-6b2caca4a195}
17089,Kane County,404119,515269,531376,34078,117579,97492,109507,102770,42350,20313,7287,37.299999999999997,303165,169364,28109,21320,9418,525970,410629,282187,268488,13589,128442,262617,14568,248049,209068,25192,6430,3871,3488,7223150,8123,47699,77698,46117,346073,53281,78727,73311,26071,73838,40845,22682,31846,30202,24073,35554,35280,79394,36270.000000000000000,179637,132690,46947,8330,187967,130612,20430,7464,6660,7041,4863,9705,1192,6.300000000000000,46128,74025,39756,28058,1981,15758,46272,65649,49666,10622,25719,64285,33973,8101,238300.000000000000000,45553,3069,13172,18485,9924,903,1148,168135,10476,11502,161944,157941,17693,231338,Manufacturing,Health Care,Retail Trade,Education,Administration,29170,25161,24609,20074,18358,198243,Manufacturing,Education,Health Care,Retail Trade,Administration,32093,21890,21286,19048,16478,Kane County,Cook County,DuPage County,Lake County,Will County,77533,65060,46233,8438,7721,Kane County,Cook County,DuPage County,McHenry County,Will County,77533,34221,22552,13262,10135,164339,155665,174075,22218.925680000000284,7294449545.000000000000000,5596096893.000000000000000,11411517993.000000000000000,1998432669.000000000000000,1275580917.000000000000000,26774137,285792879,0,14998098595.000000000000000,0.480214600000000,0.322427076000000,0.197358324000000,0.622426094000000,0.315639058000000,0.061934848000000,9.865381545000000,335401.348999999987427,61474.027509999999893,0.183284974000000,1407.574223999999958,0.004196686000000,93.846785460000007,0.000279804000000,6507.020190000000184,0.019400698000000,9497.392900999999256,0.028316502000000,9910.594313999999940,0.029548463000000,34313.579989999998361,0.102306029000000,166362.891200000012759,0.496011396000000,33440.325160000000324,0.099702417000000,12394.096750000000611,0.036953032000000,39305,56047,29003,55282,131759,15565,47878,15026,462,1031,13533,37141,4494,8058,24589,30006,9298,11101,9607,94543,61917,26030,6596,438430,92946,497298,156358,60332,340940,128443,5062,902,3741,1442,659,4985,9874,1250,273390,95924,22477,7142,5186,,,,,,,,,,,,,,,,,,,56,66,33,41,23,25,346073,140754,0.406717658000000,335400.966100000019651,44743.156419999999343,0.133401990000000,175908.369999999995343,0.254354903000000,262617,50061,0.190623608000000,9.865381545000000,6.106408615000000,0.639633726000000,0.297953191000000,111919,0.207187194000000,214338,36992,0.172587222000000,0.480214600000000,0.322427076000000,0.197358324000000,36778.439290000002075,0.070181165000000,8721.377646999999342,0.041414016000000,0.622426094000000,0.315639058000000,0.061934848000000,Low,Low,Low,309769,253736,0.819113598000000,{4220a184-c92b-407b-9e94-d7987bdc459b}
17093,Kendall County,54544,114736,126054,8691,30895,23012,30491,20212,7988,3542,1223,35.200000000000003,87604,23571,8815,4016,2048,125703,93677,68724,65645,3045,24953,64494,3650,60844,53466,4641,1594,415,728,2092030,755,9071,19139,11756,79230,5986,18127,18204,8255,17958,10700,2745,5264,7069,6227,10246,9170,96563,36382.000000000000000,40721,34036,6685,1308,42029,32193,6089,397,748,670,974,935,23,6.900000000000000,22017,13087,4753,2172,2001,2039,6760,16056,14067,3107,4411,21957,6764,834,235600.000000000000000,6576,325,1662,1593,2855,141,1414,39291,1703,1430,38283,37548,2438,63875,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,7551,7356,6657,6296,4707,25732,Retail Trade,Education,Accommodation and Food Service,Transportation,Manufacturing,4735,4600,2604,2372,2222,Cook County,DuPage County,Kane County,Kendall County,Will County,15961,14870,9674,8119,7233,Kendall County,Kane County,Will County,Cook County,DuPage County,8119,3498,3330,2448,2068,n/a,n/a,n/a,26136.670770000000630,1673462984.000000000000000,1255799437.000000000000000,2875520586.000000000000000,317678059.000000000000000,89097871.000000000000000,6653050,143971971,0,3432921537.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.988826298000000,0.011173702000000,0.000000000000000,8.872624105000000,206339.892599999991944,20897.278930000000400,0.101276000000000,181.944791199999997,0.000881772000000,29.825862269999998,0.000144547000000,1696.988405999999941,0.008224238000000,1825.236223000000109,0.008845775000000,2058.516564000000017,0.009976338000000,10438.241060000000289,0.050587605000000,156457.746199999994133,0.758252533000000,6802.691475999999966,0.032968378000000,5951.423122999999578,0.028842814000000,7062,12044,7471,14144,32061,3762,8660,2060,3,36,2021,5860,651,1415,3794,7033,1726,1833,3474,25598,15639,8140,1819,114128,11926,117363,21439,6371,95924,15074,759,781,764,362,101,345,2599,654,48677,4086,693,479,609,,,,,,,,,,,,,,,,,,,59,70,36,44,24,26,79230,36913,0.465896756000000,206324.263899999990826,11408.538469999999506,0.055294216000000,41294.080499999996391,0.276275397000000,64494,10300,0.159704779000000,8.872624105000000,5.065498961000000,0.549869194000000,0.274436084000000,0,0.000000000000000,28679,0,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.988826298000000,0.011173702000000,0.000000000000000,Very Low,Very Low,Very Low,73715,62344,0.845743743000000,{f310e3a3-5a46-451d-8b65-183ebed76cad}
17097,Lake County,644356,703462,701473,40703,152672,128316,137299,146144,57332,26661,12346,38.399999999999999,432361,152141,45923,53654,17394,683278,551803,380960,351926,19357,170843,355918,24486,331432,273445,29529,15805,9347,3306,10091775,12425,67000,109395,57302,457676,42861,95007,83348,29020,121501,85939,29993,39275,35950,30200,44543,66161,89427,45766.000000000000000,246122,179679,66443,17956,264078,177495,26724,6800,7880,9831,11309,19484,4555,6.300000000000000,45957,131490,63865,22766,1981,24772,60860,89360,70161,18925,37924,63944,40105,34888,265100.000000000000000,63946,4464,17555,22896,15796,3235,1197,231828,11494,14294,226066,220965,20056,307563,Manufacturing,Health Care,Retail Trade,Education,Professional,40973,33921,32777,26984,25782,314826,Manufacturing,Retail Trade,Health Care,Education,Administration,54538,35552,31782,28376,25078,Lake County,Cook County,DuPage County,McHenry County,Kane County,146420,105879,16811,7653,4569,Lake County,Cook County,McHenry County,DuPage County,Kane County,146420,84755,20513,11246,8438,271033,257955,288487,22231.104439999999158,11935965091.000000000000000,9754620433.000000000000000,21755345014.000000000000000,4242412622.000000000000000,1064623662.000000000000000,37807383,146204986,0,27246393667.000000000000000,0.519255380000000,0.349337305000000,0.131407314000000,0.670187814000000,0.315994374000000,0.013817811000000,9.494061609999999,301189.148800000024494,99301.192909999997937,0.329697113000000,3040.429997000000185,0.010094753000000,157.786316499999998,0.000523878000000,12472.988769999999931,0.041412477000000,11622.318869999999151,0.038588106000000,7695.357610000000022,0.025549917000000,49373.005729999997129,0.163926907000000,41390.441310000001977,0.137423415000000,56635.177920000001905,0.188038574000000,19500.449379999998200,0.064744860000000,55252,79353,41834,69683,180068,19589,66054,19250,697,1447,17106,46480,4959,9569,31952,35493,10168,12922,12403,140397,93505,33725,13167,570075,131398,660770,190193,67033,470577,114481,19308,7726,6045,1092,5397,10410,22603,3131,472968,92716,43580,24866,10226,,,,,,,,,,,,,,,,,,,61,73,39,48,23,24,457676,236460,0.516653703000000,302535.103100000007544,58776.056250000001455,0.194278468000000,242130.458199999993667,0.242745405000000,355918,79167,0.222430447000000,9.494061609999999,6.332904399000000,0.621153519000000,0.342661748000000,80835,0.116021885000000,342520,55729,0.162702908000000,0.519255380000000,0.349337305000000,0.131407314000000,12997.398870000000898,0.018948413000000,1152.523386000000073,0.003408834000000,0.670187814000000,0.315994374000000,0.013817811000000,Low,Low,Low,411759,338371,0.821769530000000,{17a55515-3bc6-46e5-a6b7-a2db4fadf3d0}
17111,McHenry County,260077,308760,307714,16918,64012,52811,62143,68706,26745,11319,5060,40.200000000000003,249502,40266,4231,8554,5161,305904,243951,171708,164564,7121,72243,161612,10087,151525,134473,10403,3992,1517,1140,5029885,4394,26642,50232,31185,208188,14270,55175,47497,19538,48226,23482,11506,17724,19213,17053,24080,22877,86799,39006.000000000000000,112453,89278,23175,6011,118464,91254,11820,2307,2903,4446,2160,2656,918,6.600000000000000,28619,57672,21935,10238,1987,6567,26055,47066,32138,6638,17313,50059,18516,3182,224500.000000000000000,22181,1161,5801,9141,5462,616,1197,106990,3998,5463,105363,103398,7090,150515,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,20139,16595,15339,14230,10853,88146,Manufacturing,Retail Trade,Education,Health Care,Accommodation and Food Service,14492,11581,9989,9699,7141,McHenry County,Cook County,Lake County,Kane County,DuPage County,47292,43298,20513,13262,11287,McHenry County,Cook County,Lake County,Kane County,DuPage County,47292,8376,7653,7090,2207,76159,74895,79305,23592.523359999999229,4182112312.000000000000000,3231248413.000000000000000,7197907996.000000000000000,959794829.000000000000000,329337452.000000000000000,17828762,298427767,11101389,8814398195.000000000000000,0.834881351000000,0.149368112000000,0.015750537000000,0.842979752000000,0.153003909000000,0.004016339000000,11.393322680000001,391047.654800000018440,68598.426649999993970,0.175422166000000,663.453760900000020,0.001696606000000,122.743261300000000,0.000313883000000,4725.755089999999655,0.012084857000000,4824.084069999999883,0.012336307000000,8429.205524999999398,0.021555443000000,28396.877970000001369,0.072617436000000,219262.127500000002328,0.560704366000000,37894.059889999996813,0.096903944000000,18130.921129999998811,0.046364991000000,23559,38733,19739,30422,83380,8471,29073,7478,137,407,6934,20533,2490,4557,13486,18963,5304,6905,6754,63748,42585,16496,4667,279096,28618,290796,41193,14488,249603,25774,4978,506,1637,469,408,1863,5041,517,233026,19602,1379,3734,2336,,,,,,,,,,,,,,,,,,,58,69,34,43,24,26,208188,91246,0.438286549000000,390842.030399999988731,27034.504529999998340,0.069169901000000,108678.451100000005681,0.248756807000000,161612,25999,0.160872955000000,11.393322680000001,5.981147452000000,0.584058027000000,0.343997648000000,5131,0.016168574000000,100610,1452,0.014431965000000,0.834881351000000,0.149368112000000,0.015750537000000,1184.570112000000108,0.003874994000000,437.424490900000023,0.004456558000000,0.842979752000000,0.153003909000000,0.004016339000000,Very Low,Low,Low,183660,154433,0.840863552000000,{ee9772ac-d6f9-4fd0-977f-1686ea00cbaa}
,Region,8146264,8431386,8483267,518065,1644152,1794152,1701494,1635766,691947,346833,150858,37.500000000000000,4331282,1952500,1406500,610365,182620,8343381,6759890,4546758,4260595,274246,2213132,4190125,226183,3963942,2865893,323457,557002,164065,53525,128722955,399783,1111243,1098207,514097,5766091,663242,1314011,1100596,404417,1377160,906665,529858,567834,490586,395676,533771,605605,73572,39057.716549999997369,3123330,1996297,1127033,286760,3410090,1710011,254103,237977,268945,270643,151076,490331,27004,6.000000000000000,463304,1161616,1044859,740311,1968,548002,965749,1133210,597921,165208,401181,832953,492711,246860,249366.986200000013923,1091851,81363,325319,386112,253234,45823,1150,2844477,189503,278853,2741960,2640864,381370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358360,3133051,3574346,17165.480250000000524,122000000000.000000000000000,93778223174.000000000000000,199000000000.000000000000000,65958368834.000000000000000,18568528468.000000000000000,644022660,1199806416,11104039,285000000000.000000000000000,0.255384595000000,0.206084648000000,0.538530757000000,0.357652748000000,0.237757898000000,0.404589354000000,5.784009593000000,2605721.442999999970198,591571.229300000006333,0.227027809000000,42553.743790000000445,0.016330888000000,3047.117687999999816,0.001169395000000,81090.525049999996554,0.031120182000000,92233.804010000007111,0.035396648000000,96673.733370000001742,0.037100563000000,391604.239100000006147,0.150286302000000,856731.353000000002794,0.328788542000000,337329.995100000000093,0.129457428000000,112885.702199999999721,0.043322245000000,907247,962910,487229,765944,2020927,255505,1102403,346898,8867,25618,312413,684002,77326,145913,460763,485439,151167,173246,161026,1527241,1022835,382768,121638,6857014,1626253,7965202,2503134,946875,5462068,1469511,275630,90487,73562,61851,36522,109161,329735,56675,4687259,1409202,1537534,375993,136276,,,,,,,,,,,,,,,,,,,,,,,,,5766091,2688242,0.466215674000000,2607682.810000000055879,552562.341899999999441,0.211897835000000,3118999.925999999977648,0.177160101000000,4190125,1270707,0.303262313000000,5.784009593000000,2.872397155000000,0.417561663000000,0.162817516000000,4533616,0.531988425000000,4131300,2280586,0.552026239000000,0.255384595000000,0.206084648000000,0.538530757000000,3483373.759999999776483,0.415423245000000,1562127.767999999923632,0.382354058000000,0.357652748000000,0.237757898000000,0.404589354000000,Moderate,Moderate,Moderate,5131412,4148225,0.808398351000000,{fcff7147-2a04-4c4d-8a7b-a20a9cb9ce7d}
17197,Will County,502266,677560,689315,40632,152328,125380,147318,136743,53074,24377,9463,37.899999999999999,438965,119765,76586,37434,16565,680059,536772,368652,351095,17294,168120,345127,16687,328440,287635,20759,13360,3136,3550,10844035,8483,57750,100163,63102,451665,40481,121538,96777,37993,100578,54298,25208,35461,37173,33370,49071,49215,86961,36524.000000000000000,229498,186528,42970,14409,243907,182200,29263,4908,5232,4699,5898,8346,3361,6.500000000000000,71367,112348,42423,17769,1991,13880,47835,98733,69437,14022,37110,92567,45044,11285,232000.000000000000000,40569,2064,12607,13739,10570,1589,1176,215300,10872,14198,209127,204546,20371,322820,Health Care,Retail Trade,Education,Manufacturing,Professional,40214,34596,30386,30014,23591,248496,Education,Retail Trade,Transportation,Manufacturing,Health Care,34769,28489,25845,24661,24435,Cook County,Will County,DuPage County,Kane County,Lake County,108850,102987,61803,10135,5870,Will County,Cook County,DuPage County,Kane County,Kendall County,102987,67009,19685,7721,7233,120130,155494,213001,24987.972140000001673,10573047453.000000000000000,8586391452.000000000000000,16311401782.000000000000000,2200936537.000000000000000,3224251464.000000000000000,78581739,317427817,2650,22132601989.000000000000000,0.683381014000000,0.263854623000000,0.052764363000000,0.839292306000000,0.134825482000000,0.025882212000000,9.226804711000000,543442.167900000000373,85895.974650000003749,0.158059090000000,1353.566992000000027,0.002490729000000,123.448499799999993,0.000227160000000,10011.304650000000038,0.018422024000000,13425.188319999999294,0.024703987000000,20566.715950000001612,0.037845271000000,67910.203410000001895,0.124963073000000,255082.073700000008103,0.469382188000000,61546.531159999998636,0.113253139000000,27527.160639999998239,0.050653340000000,48755,69980,39263,71500,171227,17466,58271,16014,261,976,14777,41684,5668,9018,26998,36753,11315,13182,12256,131125,84288,35818,11019,604385,84930,648683,133152,51140,515531,80948,10033,2798,5334,4008,1310,7518,18350,2853,388523,43768,51980,11021,6974,,,,,,,,,,,,,,,,,,,57,68,34,43,23,25,451665,192869,0.427017812000000,543414.873799999943003,73808.984739999999874,0.135824373000000,228989.318300000013551,0.322325012000000,345127,53942,0.156296088000000,9.226804711000000,4.676169252000000,0.545077619000000,0.314750833000000,35662,0.050715610000000,211248,12587,0.059583996000000,0.683381014000000,0.263854623000000,0.052764363000000,18913.669470000000729,0.027890138000000,3934.397116999999980,0.019227635000000,0.839292306000000,0.134825482000000,0.025882212000000,Low,Very Low,Low,409441,334947,0.818059256000000,{6d546c11-9a49-4890-b444-81f71a06ec69}
