GEOG,F2000_POP,F2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,GlobalID
Cook County,5376741.000000000000000,5194675.000000000000000,-182066.000000000000000,5227827.000000000000000,1345694.000000000000000,1214211.000000000000000,1057577.000000000000000,961163.000000000000000,462687.000000000000000,186495.000000000000000,35.700000000000003,2266635.000000000000000,1281217.000000000000000,1248338.000000000000000,343048.000000000000000,88589.000000000000000,5140700.000000000000000,4157059.000000000000000,2757313.000000000000000,2433661.000000000000000,322732.000000000000000,1399746.000000000000000,99838.000000000000000,2283178.000000000000000,1483723.000000000000000,212463.000000000000000,430767.000000000000000,128317.000000000000000,27908.000000000000000,3513404.000000000000000,2980558.000000000000000,1238952.000000000000000,462004.000000000000000,429872.000000000000000,331375.000000000000000,231831.000000000000000,255320.000000000000000,226658.000000000000000,54828.000000000000000,1937060.000000000000000,1115461.000000000000000,821599.000000000000000,239973.000000000000000,2177033.000000000000000,872996.000000000000000,114759.000000000000000,213916.000000000000000,248817.000000000000000,710928.000000000000000,5.100000000000000,179484.000000000000000,534329.000000000000000,784646.000000000000000,678574.000000000000000,1957.000000000000000,442534.000000000000000,692524.000000000000000,697854.000000000000000,258292.000000000000000,85829.000000000000000,302465.000000000000000,460890.000000000000000,226625.000000000000000,125481.000000000000000,222200.000000000000000,2104183.000000000000000,Health Care,Retail Trade,Education,Professional,Manufacturing,291662.000000000000000,205288.000000000000000,203262.000000000000000,180856.000000000000000,177385.000000000000000,2348313.000000000000000,Health Care,Retail Trade,Education,Professional,Accommodation and Food Service,322986.000000000000000,226687.000000000000000,219107.000000000000000,217326.000000000000000,185784.000000000000000,Cook County,DuPage County,Lake County,Will County,Kane County,1654603.000000000000000,181866.000000000000000,79007.000000000000000,46790.000000000000000,33502.000000000000000,Cook County,DuPage County,Will County,Lake County,Kane County,1654603.000000000000000,172470.000000000000000,106219.000000000000000,100797.000000000000000,61200.000000000000000,29.955179999999999,18.276959999999999,48.232129999999998,38.095480000000002,9.218999999999999,47.314480000000003,51.082780000000000,24.705050000000000,75.787830000000000,36.599550000000001,16.808630000000001,53.408189999999998,2131857.000000000000000,-17545.000000000000000,-0.816273549573323,13903.000000000000000,70046938551.000000000000000,82948767647.000000000000000,37136249633.000000000000000,7795871659.000000000000000,324507862.000000000000000,5150390.000000000000000,0.000000000000000,128210547191.000000000000000,72,18.858329749999999,612941.858600000035949,180711.380999999993946,29.482630120000000,30615.162069999998494,4.994790557000000,2501.193831999999929,0.408063799000000,32519.180710000000545,5.305426649000000,34961.266830000000482,5.703847166000000,36647.189980000002834,5.978901500000000,157506.516200000012759,25.696811860000000,16022.451230000000578,2.614024642000000,97867.786439999996219,15.966895570000000,23589.730250000000524,3.848608138000000,{e5bd0d5b-19f3-4504-921d-618e9d3e4565}
DuPage County,904161.000000000000000,916924.000000000000000,12763.000000000000000,926485.000000000000000,247437.000000000000000,174059.000000000000000,193699.000000000000000,195299.000000000000000,84202.000000000000000,31789.000000000000000,38.700000000000003,640577.000000000000000,127142.000000000000000,41920.000000000000000,97496.000000000000000,19350.000000000000000,913884.000000000000000,731189.000000000000000,515925.000000000000000,474601.000000000000000,41012.000000000000000,215264.000000000000000,23002.000000000000000,442325.000000000000000,364075.000000000000000,35490.000000000000000,29440.000000000000000,9506.000000000000000,3814.000000000000000,623597.000000000000000,575445.000000000000000,291269.000000000000000,40871.000000000000000,62680.000000000000000,56776.000000000000000,48203.000000000000000,62317.000000000000000,66156.000000000000000,79016.000000000000000,337003.000000000000000,248836.000000000000000,88167.000000000000000,19622.000000000000000,356625.000000000000000,213040.000000000000000,43913.000000000000000,2586.000000000000000,11395.000000000000000,85071.000000000000000,6.100000000000000,33173.000000000000000,205618.000000000000000,97098.000000000000000,20736.000000000000000,1977.000000000000000,43646.000000000000000,88013.000000000000000,119445.000000000000000,86169.000000000000000,19352.000000000000000,34177.000000000000000,104388.000000000000000,74628.000000000000000,35643.000000000000000,279700.000000000000000,438737.000000000000000,Health Care,Retail Trade,Professional,Manufacturing,Education,51968.000000000000000,44063.000000000000000,42620.000000000000000,41236.000000000000000,38695.000000000000000,566812.000000000000000,Health Care,Retail Trade,Professional,Wholesale Trade,Manufacturing,62022.000000000000000,58733.000000000000000,56004.000000000000000,53729.000000000000000,53510.000000000000000,DuPage County,Cook County,Kane County,Will County,Lake County,193126.000000000000000,172470.000000000000000,22130.000000000000000,16465.000000000000000,10537.000000000000000,DuPage County,Cook County,Will County,Kane County,Lake County,193126.000000000000000,181866.000000000000000,58269.000000000000000,44695.000000000000000,15718.000000000000000,32.228490000000001,20.844339999999999,53.072830000000003,41.401580000000003,11.630520000000001,53.032100000000000,55.212769999999999,29.238160000000001,84.450940000000003,39.444890000000001,19.780220000000000,59.225110000000001,542236.000000000000000,29783.000000000000000,5.811850062347181,19551.000000000000000,19841563654.000000000000000,24551674202.000000000000000,5468064649.000000000000000,2448068227.000000000000000,34598681.000000000000000,2166831.000000000000000,0.000000000000000,32504572590.000000000000000,43,45.403366589999997,215304.665100000012899,74159.960210000004736,34.444195710000002,5376.291594000000259,2.497062287000000,13.278138439999999,0.006167139000000,12899.093960000000152,5.991088931000000,15679.927030000000741,7.282669432000000,11959.665160000000469,5.554763597000000,43173.193630000001576,20.052140349999998,3975.908103000000210,1.846642803000000,41644.776369999999588,19.342254550000000,6422.570899999999710,2.983015206000000,{832f88ba-7508-4952-a467-da22bd51cc54}
Kane County,404119.000000000000000,515269.000000000000000,111150.000000000000000,521874.000000000000000,159657.000000000000000,97789.000000000000000,113243.000000000000000,95170.000000000000000,42518.000000000000000,13497.000000000000000,35.500000000000000,305106.000000000000000,162048.000000000000000,27475.000000000000000,18546.000000000000000,8699.000000000000000,516031.000000000000000,392782.000000000000000,275166.000000000000000,250660.000000000000000,24397.000000000000000,117616.000000000000000,11107.000000000000000,234554.000000000000000,197455.000000000000000,23802.000000000000000,6709.000000000000000,4089.000000000000000,2499.000000000000000,330832.000000000000000,274685.000000000000000,105286.000000000000000,25350.000000000000000,34802.000000000000000,30156.000000000000000,24168.000000000000000,30856.000000000000000,25984.000000000000000,70514.000000000000000,171316.000000000000000,127614.000000000000000,43702.000000000000000,11536.000000000000000,182852.000000000000000,126687.000000000000000,19734.000000000000000,7619.000000000000000,7226.000000000000000,20223.000000000000000,6.200000000000000,41197.000000000000000,71089.000000000000000,41151.000000000000000,29415.000000000000000,1979.000000000000000,15337.000000000000000,46313.000000000000000,64950.000000000000000,46153.000000000000000,10099.000000000000000,32383.000000000000000,60105.000000000000000,27186.000000000000000,7940.000000000000000,216000.000000000000000,219049.000000000000000,Manufacturing,Health Care,Retail Trade,Education,Administration,28487.000000000000000,23897.000000000000000,23706.000000000000000,19188.000000000000000,17989.000000000000000,192135.000000000000000,Manufacturing,Health Care,Education,Retail Trade,Administration,30502.000000000000000,21816.000000000000000,21259.000000000000000,19178.000000000000000,18984.000000000000000,Kane County,Cook County,DuPage County,Lake County,McHenry County,74850.000000000000000,61200.000000000000000,44695.000000000000000,7721.000000000000000,6219.000000000000000,Kane County,Cook County,DuPage County,McHenry County,Kendall County,74850.000000000000000,33502.000000000000000,22130.000000000000000,12333.000000000000000,9497.000000000000000,30.608300000000000,22.215550000000000,52.823850000000000,39.022440000000003,13.094840000000000,52.117280000000001,52.643110000000000,31.651560000000000,84.294669999999996,37.587240000000001,21.365670000000001,58.952910000000003,169832.000000000000000,2786.000000000000000,1.667804077918657,21448.000000000000000,6752164675.000000000000000,8664023693.000000000000000,1635006235.000000000000000,951961763.000000000000000,18291649.000000000000000,237050429.000000000000000,0.000000000000000,11506333769.000000000000000,N/A,60.536921069999998,335402.690799999982119,60404.067150000002584,18.009416380000001,1263.092801999999892,0.376589943000000,56.192235369999999,0.016753663000000,6403.745944000000236,1.909270891000000,9511.946518999999171,2.835977999000000,9980.070386999999755,2.975548694000000,33679.209690000003320,10.041425009999999,169610.024499999999534,50.569070889999999,31283.633630000000267,9.327186242000000,13210.707979999999225,3.938760286000000,{49a04bb0-7199-4358-9998-3562984bbb31}
Kendall County,54544.000000000000000,114736.000000000000000,60192.000000000000000,118194.000000000000000,38803.000000000000000,23050.000000000000000,28712.000000000000000,18530.000000000000000,7175.000000000000000,1924.000000000000000,33.700000000000003,86528.000000000000000,19155.000000000000000,6703.000000000000000,3948.000000000000000,1860.000000000000000,117910.000000000000000,85951.000000000000000,64369.000000000000000,59481.000000000000000,4831.000000000000000,21582.000000000000000,2522.000000000000000,55942.000000000000000,49332.000000000000000,4183.000000000000000,1569.000000000000000,378.000000000000000,480.000000000000000,73553.000000000000000,68339.000000000000000,25238.000000000000000,3426.000000000000000,6189.000000000000000,7367.000000000000000,6743.000000000000000,9026.000000000000000,5702.000000000000000,83844.000000000000000,38453.000000000000000,31961.000000000000000,6492.000000000000000,2294.000000000000000,40747.000000000000000,30282.000000000000000,6587.000000000000000,525.000000000000000,594.000000000000000,2683.000000000000000,6.700000000000000,20848.000000000000000,13102.000000000000000,4777.000000000000000,2020.000000000000000,2000.000000000000000,1737.000000000000000,7493.000000000000000,16715.000000000000000,12655.000000000000000,2147.000000000000000,7140.000000000000000,19118.000000000000000,4925.000000000000000,778.000000000000000,204100.000000000000000,58534.000000000000000,Retail Trade,Health Care,Manufacturing,Education,Wholesale Trade,6875.000000000000000,6839.000000000000000,6159.000000000000000,6103.000000000000000,4094.000000000000000,24222.000000000000000,Education,Retail Trade,Manufacturing,Transportation,Accommodation and Food Service,4303.000000000000000,3899.000000000000000,3086.000000000000000,2309.000000000000000,2157.000000000000000,DuPage County,Cook County,Kane County,Kendall County,Will County,14259.000000000000000,13952.000000000000000,9497.000000000000000,7728.000000000000000,5764.000000000000000,Kendall County,Kane County,Will County,DuPage County,Cook County,7728.000000000000000,3215.000000000000000,3214.000000000000000,2118.000000000000000,2052.000000000000000,30.451370000000001,24.137360000000001,54.588740000000001,38.981150000000000,15.199159999999999,54.180309999999999,52.201189999999997,35.079610000000002,87.280799999999999,37.288760000000003,23.616340000000001,60.905099999999997,,,,25109.000000000000000,1453134247.000000000000000,2031960284.000000000000000,302400517.000000000000000,77659872.000000000000000,3436234.000000000000000,113084918.000000000000000,0.000000000000000,2528541825.000000000000000,N/A,56.118165679999997,206340.718699999997625,19743.584119999999530,9.568438184000000,185.037102299999987,0.089675515000000,26.862042500000001,0.013018295000000,1597.035198999999920,0.773979663000000,1691.666451999999936,0.819841310000000,2352.044758000000002,1.139883961000000,10240.967749999999796,4.963134672000000,158230.891000000003260,76.684278309999996,6439.170145000000048,3.120649276000000,5833.460145000000011,2.827100817000000,{77478665-2335-4e27-a8c6-6f87aa1eaf2c}
Lake County,644356.000000000000000,703462.000000000000000,59106.000000000000000,703170.000000000000000,207638.000000000000000,123752.000000000000000,150013.000000000000000,142368.000000000000000,58006.000000000000000,21393.000000000000000,37.200000000000003,451700.000000000000000,143841.000000000000000,46644.000000000000000,45556.000000000000000,15429.000000000000000,684858.000000000000000,541258.000000000000000,378877.000000000000000,335183.000000000000000,33278.000000000000000,162381.000000000000000,21403.000000000000000,318692.000000000000000,262280.000000000000000,26856.000000000000000,14117.000000000000000,11650.000000000000000,3789.000000000000000,450871.000000000000000,402149.000000000000000,192336.000000000000000,34165.000000000000000,43309.000000000000000,39439.000000000000000,31143.000000000000000,41826.000000000000000,51964.000000000000000,77873.000000000000000,241846.000000000000000,181664.000000000000000,60182.000000000000000,18988.000000000000000,260834.000000000000000,175339.000000000000000,29968.000000000000000,6759.000000000000000,7434.000000000000000,36672.000000000000000,6.300000000000000,40719.000000000000000,132304.000000000000000,64756.000000000000000,23055.000000000000000,1980.000000000000000,23901.000000000000000,61886.000000000000000,89832.000000000000000,68289.000000000000000,16926.000000000000000,43628.000000000000000,65334.000000000000000,38936.000000000000000,33766.000000000000000,247300.000000000000000,292702.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Professional,39226.000000000000000,32709.000000000000000,31731.000000000000000,26773.000000000000000,24288.000000000000000,299491.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Administration,51550.000000000000000,35207.000000000000000,32288.000000000000000,28363.000000000000000,23150.000000000000000,Lake County,Cook County,DuPage County,McHenry County,Kane County,142576.000000000000000,100797.000000000000000,15718.000000000000000,6858.000000000000000,4466.000000000000000,Lake County,Cook County,McHenry County,DuPage County,Kane County,142576.000000000000000,79007.000000000000000,19248.000000000000000,10537.000000000000000,7721.000000000000000,31.799209999999999,22.272510000000000,54.071719999999999,40.384200000000000,13.168690000000000,53.552889999999998,56.257339999999999,31.765830000000001,88.023169999999993,39.049720000000001,21.439370000000000,60.489089999999997,280126.000000000000000,8430.000000000000000,3.102732465696955,21120.000000000000000,12278897494.000000000000000,17986600287.000000000000000,3557931152.000000000000000,941835797.000000000000000,28494978.000000000000000,131981893.000000000000000,0.000000000000000,22646844107.000000000000000,55,76.774728249999995,301154.372199999983422,99521.250230000005104,33.046589859999997,3126.917630999999801,1.038310554000000,117.420169500000000,0.038990026000000,12081.717570000000705,4.011802146000000,11787.619099999999889,3.914145100000000,7967.214245000000119,2.645558219000000,48379.790000000000873,16.064780880000001,44276.263720000002650,14.702181939999999,54439.097249999998894,18.076807870000000,19457.082289999998466,6.460833407000000,{9cd20818-59ce-49de-9345-d667836a8b54}
McHenry County,260077.000000000000000,308760.000000000000000,48683.000000000000000,307888.000000000000000,88455.000000000000000,50748.000000000000000,70314.000000000000000,64158.000000000000000,26645.000000000000000,7568.000000000000000,38.899999999999999,255364.000000000000000,36623.000000000000000,3563.000000000000000,7854.000000000000000,4484.000000000000000,306347.000000000000000,237884.000000000000000,171858.000000000000000,155400.000000000000000,16319.000000000000000,66026.000000000000000,8409.000000000000000,144263.000000000000000,125214.000000000000000,11827.000000000000000,4162.000000000000000,1994.000000000000000,1066.000000000000000,202364.000000000000000,186521.000000000000000,65235.000000000000000,13621.000000000000000,19882.000000000000000,20107.000000000000000,17128.000000000000000,21563.000000000000000,16920.000000000000000,76345.000000000000000,109221.000000000000000,89100.000000000000000,20121.000000000000000,7313.000000000000000,116534.000000000000000,90540.000000000000000,11841.000000000000000,2093.000000000000000,3028.000000000000000,8390.000000000000000,6.600000000000000,26175.000000000000000,58319.000000000000000,22194.000000000000000,9846.000000000000000,1987.000000000000000,6435.000000000000000,25562.000000000000000,47002.000000000000000,31288.000000000000000,6247.000000000000000,20937.000000000000000,47154.000000000000000,17305.000000000000000,3704.000000000000000,213400.000000000000000,144141.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19500.000000000000000,16570.000000000000000,14528.000000000000000,14109.000000000000000,10713.000000000000000,84430.000000000000000,Manufacturing,Retail Trade,Education,Health Care,Administration,15098.000000000000000,10785.000000000000000,10158.000000000000000,8962.000000000000000,6173.000000000000000,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.000000000000000,41786.000000000000000,19248.000000000000000,12333.000000000000000,10209.000000000000000,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.000000000000000,7646.000000000000000,6858.000000000000000,6219.000000000000000,2107.000000000000000,30.576020000000000,23.665700000000001,54.241720000000001,38.987099999999998,14.662380000000001,53.649479999999997,52.689850000000000,34.241639999999997,86.931500000000000,37.571129999999997,23.057860000000002,60.628979999999999,78429.000000000000000,-539.000000000000000,-0.682554958970722,23160.000000000000000,3992941779.000000000000000,5564836513.000000000000000,816255227.000000000000000,281349955.000000000000000,12346414.000000000000000,234218929.000000000000000,10455494.000000000000000,6919462532.000000000000000,N/A,118.251696300000006,391049.217200000013690,67308.163449999992736,17.212197459999999,535.146862800000008,0.136848979000000,76.566752919999999,0.019579825000000,4786.006446999999753,1.223888512000000,4976.680256999999983,1.272648055000000,8980.421462000000247,2.296493911000000,28040.239050000000134,7.170514047000000,221678.012699999992037,56.688008300000000,36587.596599999997125,9.356263863000001,18080.383640000000014,4.623557047000000,{cc89212c-5af2-4d8c-925c-0ab05aa47d32}
Will County,502266.000000000000000,677560.000000000000000,175294.000000000000000,682108.000000000000000,208312.000000000000000,120737.000000000000000,158169.000000000000000,125149.000000000000000,52977.000000000000000,16764.000000000000000,36.200000000000003,451501.000000000000000,109841.000000000000000,73878.000000000000000,32850.000000000000000,14038.000000000000000,674029.000000000000000,515967.000000000000000,359559.000000000000000,327270.000000000000000,32101.000000000000000,156408.000000000000000,12663.000000000000000,308461.000000000000000,267448.000000000000000,21424.000000000000000,13225.000000000000000,2645.000000000000000,3719.000000000000000,433388.000000000000000,392361.000000000000000,141404.000000000000000,29265.000000000000000,39975.000000000000000,40497.000000000000000,35127.000000000000000,44739.000000000000000,33776.000000000000000,76142.000000000000000,223379.000000000000000,182913.000000000000000,40466.000000000000000,15142.000000000000000,238521.000000000000000,176865.000000000000000,28808.000000000000000,4926.000000000000000,5644.000000000000000,18799.000000000000000,6.500000000000000,66613.000000000000000,109814.000000000000000,44455.000000000000000,17639.000000000000000,1990.000000000000000,14077.000000000000000,47809.000000000000000,98475.000000000000000,65701.000000000000000,12459.000000000000000,42966.000000000000000,94408.000000000000000,36360.000000000000000,9179.000000000000000,212700.000000000000000,304479.000000000000000,Health Care,Retail Trade,Education,Manufacturing,Professional,38319.000000000000000,34289.000000000000000,29829.000000000000000,28701.000000000000000,21715.000000000000000,206593.000000000000000,Retail Trade,Health Care,Education,Manufacturing,Wholesale Trade,25130.000000000000000,22644.000000000000000,22206.000000000000000,21855.000000000000000,16877.000000000000000,Cook County,Will County,DuPage County,Kane County,Lake County,106219.000000000000000,94189.000000000000000,58269.000000000000000,9442.000000000000000,4904.000000000000000,Will County,Cook County,DuPage County,Kane County,Kendall County,94189.000000000000000,46790.000000000000000,16465.000000000000000,6152.000000000000000,5764.000000000000000,31.124590000000001,22.992970000000000,54.117559999999997,39.779150000000001,13.958510000000000,53.737659999999998,54.343350000000001,33.100879999999997,87.444230000000005,38.319540000000003,22.291830000000001,60.611370000000001,178695.000000000000000,50338.000000000000000,39.217183324633638,23984.000000000000000,9119801956.000000000000000,12870087673.000000000000000,2181381228.000000000000000,2649330030.000000000000000,66798394.000000000000000,265279914.000000000000000,150.000000000000000,18032877389.000000000000000,20,89.549634780000005,543444.339999999967404,84822.823390000005020,15.608373690000001,1192.084250999999995,0.219357193000000,73.278338009999999,0.013484056000000,9830.557392999999138,1.808935464000000,14382.259439999999813,2.646500917000000,19875.540690000001632,3.657327757000000,66213.478560000003199,12.184040510000001,257310.491700000013225,47.348085679999997,61051.688739999997779,11.234211900000000,28692.137470000001485,5.279682823000000,{c4914b28-a487-4bec-a44e-4105530cc0ff}
CMAP Region,8146264.000000000000000,8431386.000000000000000,285122.000000000000000,8487546.000000000000000,2295996.000000000000000,1804346.000000000000000,1771727.000000000000000,1601837.000000000000000,734210.000000000000000,279430.000000000000000,36.200000000000003,4457411.000000000000000,1879867.000000000000000,1448521.000000000000000,549298.000000000000000,152449.000000000000000,8353759.000000000000000,6662090.000000000000000,4523067.000000000000000,4036256.000000000000000,474670.000000000000000,2139023.000000000000000,178944.000000000000000,3787415.000000000000000,2749527.000000000000000,336045.000000000000000,499989.000000000000000,158579.000000000000000,43275.000000000000000,5628009.000000000000000,4880058.000000000000000,2059720.000000000000000,608702.000000000000000,636709.000000000000000,525717.000000000000000,394343.000000000000000,465647.000000000000000,427160.000000000000000,62903.000000000000000,3058278.000000000000000,1977549.000000000000000,1080729.000000000000000,314868.000000000000000,3373146.000000000000000,1685749.000000000000000,255610.000000000000000,238424.000000000000000,284138.000000000000000,882766.000000000000000,6.000000000000000,408209.000000000000000,1124575.000000000000000,1059077.000000000000000,781285.000000000000000,1966.000000000000000,547667.000000000000000,969600.000000000000000,1134273.000000000000000,568547.000000000000000,153059.000000000000000,483696.000000000000000,851397.000000000000000,425965.000000000000000,216491.000000000000000,228938.000000000000000,3561825.000000000000000,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3721996.000000000000000,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3381175.000000000000000,73253.000000000000000,2.214471804353307,16723.000000000000000,123485442356.000000000000000,154617950299.000000000000000,51097288641.000000000000000,15146077303.000000000000000,488474212.000000000000000,988933304.000000000000000,10455644.000000000000000,222349179403.000000000000000,0,38.952154659999998,2605637.862600000109524,586671.229550000047311,157.371841404000065,42293.732313099993917,9.352635028000009,2864.791508740000154,0.516056802999998,80117.337222999980440,21.024392256000027,92991.365627999985009,24.475629978999990,97762.146681999991415,24.248477639000015,387233.394879999978002,96.172847329000007,871104.042953000054695,250.452292564999993,329313.749175000004470,86.424269271000014,115286.072675000003073,29.961557723999988,{5a1dc9bd-3f02-4860-a520-dd9253af5093}
