GEOG,F2000_POP,F2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,F2000_WHITE,F2000_HISP,F2000_BLACK,F2000_ASIAN,F2000_OTHER,F2000_UND19,F2000_A20_34,F2000_A35_49,F2000_A50_64,F2000_OV65,F2000_MED_AGE,F2000_TOT_HH,F2000_OWN_OCC_HU,F2000_RENT_OCC_HU,F2000_VAC_HU,F2000_HU_TOT,F2000_LT_HS,F2000_HS,F2000_SOME_COLL,F2000_ASSOC,F2000_BACH,F2000_GRAD_PROF,F2000_POP_25OV,GlobalID
Cook County,5376741,5194675,5227575.000000000000000,1316810.000000000000000,1214796.000000000000000,1046126.000000000000000,972184.000000000000000,377451.000000000000000,205204.000000000000000,95004.000000000000000,36.100000000000001,2241001.000000000000000,1300843.000000000000000,1232816.000000000000000,355071.000000000000000,97844.000000000000000,5137167.000000000000000,4173072.000000000000000,2759566.000000000000000,2492088.000000000000000,266397.000000000000000,1413506.000000000000000,107374.000000000000000,2334882.000000000000000,1513861.000000000000000,203847.000000000000000,453217.000000000000000,133146.000000000000000,30811.000000000000000,76092250.0,348198.000000000000000,793776.000000000000000,587226.000000000000000,222406.000000000000000,3546688.000000000000000,503252.000000000000000,839916.000000000000000,679437.000000000000000,230565.000000000000000,775888.000000000000000,517630.000000000000000,456075.000000000000000,414969.000000000000000,325112.000000000000000,233500.000000000000000,269196.000000000000000,252754.000000000000000,56902.000000000000000,1951606.000000000000000,1105168.000000000000000,846438.000000000000000,225736.000000000000000,2177342.000000000000000,874907.000000000000000,114564.000000000000000,211843.000000000000000,241638.000000000000000,718925.000000000000000,5.100000000000000,186929.000000000000000,549047.000000000000000,780125.000000000000000,661241.000000000000000,1958.000000000000000,439547.000000000000000,694276.000000000000000,693551.000000000000000,264646.000000000000000,85322.000000000000000,313699.000000000000000,438755.000000000000000,221456.000000000000000,119124.000000000000000,219800.000000000000000,2148319.000000000000000,Health Care,Retail Trade,Education,Professional,Manufacturing,289475.000000000000000,211597.000000000000000,205319.000000000000000,190793.000000000000000,176791.000000000000000,2370505.000000000000000,Health Care,Retail Trade,Professional,Education,Accommodation and Food Service,315907.000000000000000,232765.000000000000000,227460.000000000000000,207988.000000000000000,191309.000000000000000,Cook County,DuPage County,Lake County,Will County,Kane County,1684039.000000000000000,187876.000000000000000,81894.000000000000000,57291.000000000000000,33919.000000000000000,Cook County,DuPage County,Will County,Lake County,Kane County,1684039.000000000000000,173312.000000000000000,106213.000000000000000,103704.000000000000000,60155.000000000000000,29.955179999999999,18.276959999999999,48.232129999999998,38.095480000000002,9.218999999999999,47.314480000000003,51.082780000000000,24.705050000000000,75.787830000000000,36.599550000000001,16.808630000000001,53.408189999999998,2322816,2037597,2246987,15073,71329621416.000000000000000,94238539928.000000000000000,40840105401.000000000000000,8029945564.000000000000000,369620127,5044999,0,143483256019.000000000000000,72,3.535312998253277,612992.255598458927125,180985.679367670149077,0.295249536539373,30674.096349296010885,0.050039941074540,2482.543249881023712,0.004049877020807,32479.668191983149882,0.052985446219502,35382.882012415902864,0.057721580801819,36258.874037537738332,0.059150623366585,157150.942934879392851,0.256366930413263,15375.514815761156569,0.025082722783749,98588.436063630200806,0.160831454497544,23613.618575404110743,0.038521887282818,631626.000000000000000,573259.000000000000000,295187.000000000000000,451534.000000000000000,1185605.000000000000000,181348.000000000000000,766001.000000000000000,307649.000000000000000,8558.000000000000000,22982.000000000000000,276109.000000000000000,506071.000000000000000,60485.000000000000000,121159.000000000000000,324427.000000000000000,322097.000000000000000,113005.000000000000000,109263.000000000000000,99829.000000000000000,751180.000000000000000,495879.000000000000000,188516.000000000000000,66785.000000000000000,3797090.000000000000000,1095636.000000000000000,4892726.000000000000000,3183874.000000000000000,1708852.000000000000000,704337.000000000000000,3183874.000000000000000,1007534.000000000000000,209746.000000000000000,62699.000000000000000,47227.000000000000000,44364.000000000000000,27129.000000000000000,61230.000000000000000,202944.000000000000000,45979.000000000000000,2558709,1071740,1390448,257843,98001,,,,,,,,,,,,,,,,,,,{ca1796ac-fc7c-4e68-9b47-53b50f1df90b}
DuPage County,904161,916924,930514.000000000000000,242958.000000000000000,176737.000000000000000,187904.000000000000000,198053.000000000000000,72343.000000000000000,35204.000000000000000,17315.000000000000000,38.899999999999999,635648.000000000000000,129964.000000000000000,42320.000000000000000,102474.000000000000000,20108.000000000000000,918050.000000000000000,738676.000000000000000,514364.000000000000000,482850.000000000000000,31180.000000000000000,224312.000000000000000,27079.000000000000000,447048.000000000000000,367244.000000000000000,35649.000000000000000,30972.000000000000000,9405.000000000000000,3778.000000000000000,13017535.0,14084.000000000000000,104981.000000000000000,152403.000000000000000,67519.000000000000000,629381.000000000000000,47598.000000000000000,117893.000000000000000,120900.000000000000000,45217.000000000000000,180458.000000000000000,117315.000000000000000,41839.000000000000000,59092.000000000000000,55454.000000000000000,46329.000000000000000,64529.000000000000000,71744.000000000000000,81521.000000000000000,338987.000000000000000,247155.000000000000000,91832.000000000000000,18562.000000000000000,357549.000000000000000,213411.000000000000000,43425.000000000000000,2611.000000000000000,11493.000000000000000,85845.000000000000000,6.200000000000000,34749.000000000000000,207045.000000000000000,95520.000000000000000,20235.000000000000000,1977.000000000000000,43359.000000000000000,88192.000000000000000,119431.000000000000000,86055.000000000000000,20512.000000000000000,34214.000000000000000,100471.000000000000000,73679.000000000000000,35879.000000000000000,283500.000000000000000,443177.000000000000000,Health Care,Professional,Retail Trade,Manufacturing,Education,49198.000000000000000,44857.000000000000000,44826.000000000000000,42169.000000000000000,38767.000000000000000,577817.000000000000000,Retail Trade,Health Care,Professional,Manufacturing,Wholesale Trade,60343.000000000000000,59483.000000000000000,58848.000000000000000,55960.000000000000000,54513.000000000000000,DuPage County,Cook County,Kane County,Will County,Lake County,195579.000000000000000,173312.000000000000000,22454.000000000000000,18376.000000000000000,10667.000000000000000,DuPage County,Cook County,Will County,Kane County,Lake County,195579.000000000000000,187876.000000000000000,59945.000000000000000,44410.000000000000000,16072.000000000000000,32.228490000000001,20.844339999999999,53.072830000000003,41.401580000000003,11.630520000000001,53.032100000000000,55.212769999999999,29.238160000000001,84.450940000000003,39.444890000000001,19.780220000000000,59.225110000000001,532523,500128,565134,21800,20594427668.000000000000000,27412791883.000000000000000,6018321080.000000000000000,2703608086.000000000000000,42278395,2310379,0,36179309823.000000000000000,43,8.290084943672559,215303.803916832635878,74340.234635624714429,0.345280637328362,5236.495719772616212,0.024321426860602,27.057202716446128,0.000125669877746,12971.730892836150815,0.060248498432693,15774.336812717587236,0.073265481267627,12030.192968792294778,0.055875431599152,43132.803779019770445,0.200334610881659,3734.352048861759158,0.017344570699291,41832.198204694745073,0.194293818519127,6224.401651796541955,0.028909854533740,85089.000000000000000,107614.000000000000000,56032.000000000000000,90252.000000000000000,238201.000000000000000,20615.000000000000000,100786.000000000000000,26644.000000000000000,411.000000000000000,1385.000000000000000,24848.000000000000000,68745.000000000000000,5851.000000000000000,14746.000000000000000,48148.000000000000000,54955.000000000000000,16225.000000000000000,19654.000000000000000,19076.000000000000000,181928.000000000000000,116528.000000000000000,47786.000000000000000,17614.000000000000000,700974.000000000000000,174227.000000000000000,875201.000000000000000,645145.000000000000000,230056.000000000000000,82734.000000000000000,645145.000000000000000,92004.000000000000000,27533.000000000000000,11911.000000000000000,10292.000000000000000,3894.000000000000000,3149.000000000000000,18067.000000000000000,60474.000000000000000,2732.000000000000000,711966,81366,26977,70908,12944,,,,,,,,,,,,,,,,,,,{302a794c-9ece-4c2d-bcc6-6a3d6eb6e741}
Kane County,404119,515269,526615.000000000000000,156687.000000000000000,97639.000000000000000,111426.000000000000000,99048.000000000000000,36906.000000000000000,17439.000000000000000,7470.000000000000000,36.200000000000003,305349.000000000000000,165114.000000000000000,28207.000000000000000,19559.000000000000000,8386.000000000000000,520985.000000000000000,400949.000000000000000,277674.000000000000000,258412.000000000000000,19128.000000000000000,123275.000000000000000,11994.000000000000000,241076.000000000000000,203542.000000000000000,24717.000000000000000,6418.000000000000000,4328.000000000000000,2071.000000000000000,7020850.0,8259.000000000000000,46770.000000000000000,76626.000000000000000,42063.000000000000000,336969.000000000000000,56865.000000000000000,78152.000000000000000,68939.000000000000000,24832.000000000000000,69910.000000000000000,38271.000000000000000,25870.000000000000000,34013.000000000000000,30412.000000000000000,23798.000000000000000,32271.000000000000000,27354.000000000000000,71602.000000000000000,173718.000000000000000,127075.000000000000000,46643.000000000000000,10357.000000000000000,184075.000000000000000,127621.000000000000000,20356.000000000000000,7364.000000000000000,7212.000000000000000,20311.000000000000000,6.200000000000000,42487.000000000000000,72119.000000000000000,40199.000000000000000,29270.000000000000000,1980.000000000000000,15839.000000000000000,46071.000000000000000,63653.000000000000000,48671.000000000000000,9841.000000000000000,33318.000000000000000,59364.000000000000000,26549.000000000000000,7429.000000000000000,215800.000000000000000,219829.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Administration,29097.000000000000000,24495.000000000000000,21627.000000000000000,19249.000000000000000,17947.000000000000000,195764.000000000000000,Manufacturing,Education,Health Care,Retail Trade,Administration,32569.000000000000000,21566.000000000000000,20534.000000000000000,20048.000000000000000,17935.000000000000000,Kane County,Cook County,DuPage County,Lake County,Will County,76586.000000000000000,60155.000000000000000,44410.000000000000000,7748.000000000000000,6534.000000000000000,Kane County,Cook County,DuPage County,McHenry County,Will County,76586.000000000000000,33919.000000000000000,22454.000000000000000,12785.000000000000000,9821.000000000000000,30.608300000000000,22.215550000000000,52.823850000000000,39.022440000000003,13.094840000000000,52.117280000000001,52.643110000000000,31.651560000000000,84.294669999999996,37.587240000000001,21.365670000000001,58.952910000000003,165585,156499,175520,24121,7142502079.000000000000000,9789442804.000000000000000,1768368917.000000000000000,1109300287.000000000000000,21937710,249749524,0,12938799242.000000000000000,n/a,9.288488261387442,335401.348909857973922,60707.445181789786147,0.180999406767757,1304.871072070318178,0.003890476518092,77.306058547168263,0.000230488215979,6524.313542818992573,0.019452257911379,9522.885897550366280,0.028392509238565,9880.196385778745025,0.029457831394811,33868.956190216631512,0.100980381564653,167974.075974094012054,0.500815147345274,33187.605665618371859,0.098948933191494,12353.692941373541544,0.036832567851997,36343.000000000000000,52962.000000000000000,28255.000000000000000,56158.000000000000000,129475.000000000000000,15371.000000000000000,44243.000000000000000,16981.000000000000000,540.000000000000000,958.000000000000000,15483.000000000000000,40198.000000000000000,5337.000000000000000,9037.000000000000000,25824.000000000000000,30294.000000000000000,9189.000000000000000,10299.000000000000000,10806.000000000000000,82902.000000000000000,51300.000000000000000,24283.000000000000000,7319.000000000000000,395279.000000000000000,95927.000000000000000,491206.000000000000000,334982.000000000000000,156224.000000000000000,68304.000000000000000,334982.000000000000000,128282.000000000000000,4737.000000000000000,1106.000000000000000,3587.000000000000000,1460.000000000000000,594.000000000000000,3948.000000000000000,11148.000000000000000,1362.000000000000000,273390,95924,22477,7142,5186,,,,,,,,,,,,,,,,,,,{53fb1978-ab7c-4a74-ba3c-a6d7a3ad7809}
Kendall County,54544,114736,121452.000000000000000,39037.000000000000000,22947.000000000000000,29329.000000000000000,19481.000000000000000,6788.000000000000000,2842.000000000000000,1028.000000000000000,34.399999999999999,87391.000000000000000,20608.000000000000000,7725.000000000000000,3821.000000000000000,1907.000000000000000,121124.000000000000000,89307.000000000000000,66123.000000000000000,62605.000000000000000,3518.000000000000000,23184.000000000000000,2645.000000000000000,58843.000000000000000,51788.000000000000000,4617.000000000000000,1745.000000000000000,415.000000000000000,278.000000000000000,,580.000000000000000,8329.000000000000000,20195.000000000000000,10171.000000000000000,76080.000000000000000,5195.000000000000000,18426.000000000000000,19426.000000000000000,6959.000000000000000,16580.000000000000000,9494.000000000000000,3107.000000000000000,6401.000000000000000,7174.000000000000000,7244.000000000000000,8588.000000000000000,6761.000000000000000,85736.000000000000000,39275.000000000000000,32152.000000000000000,7123.000000000000000,1813.000000000000000,41088.000000000000000,30725.000000000000000,6249.000000000000000,349.000000000000000,518.000000000000000,3209.000000000000000,6.800000000000000,21873.000000000000000,12866.000000000000000,4136.000000000000000,2213.000000000000000,2001.000000000000000,1921.000000000000000,6864.000000000000000,16294.000000000000000,13616.000000000000000,2393.000000000000000,7583.000000000000000,19479.000000000000000,4607.000000000000000,476.000000000000000,205500.000000000000000,60027.000000000000000,Retail Trade,Health Care,Education,Manufacturing,Wholesale Trade,7268.000000000000000,6579.000000000000000,6280.000000000000000,6248.000000000000000,4297.000000000000000,23831.000000000000000,Retail Trade,Education,Accommodation and Food Service,Transportation,Health Care,4470.000000000000000,4184.000000000000000,2386.000000000000000,2322.000000000000000,1538.000000000000000,DuPage County,Cook County,Kane County,Kendall County,Will County,14706.000000000000000,14263.000000000000000,9812.000000000000000,7734.000000000000000,6125.000000000000000,Kendall County,Kane County,Will County,Cook County,DuPage County,7734.000000000000000,3310.000000000000000,2953.000000000000000,2220.000000000000000,2039.000000000000000,30.451370000000001,24.137360000000001,54.588740000000001,38.981150000000000,15.199159999999999,54.180309999999999,52.201189999999997,35.079610000000002,87.280799999999999,37.288760000000003,23.616340000000001,60.905099999999997,n/a,n/a,n/a,30402,1529371238.000000000000000,2336235004.000000000000000,298185370.000000000000000,79933808.000000000000000,4014905,121124183,0,2839493270.000000000000000,n/a,8.218343140864292,206339.892613050586078,20251.082992156378168,0.098144293552257,185.580425497715567,0.000899391887567,30.984963046184124,0.000150164675642,1656.764099958203587,0.008029296123872,1717.238572074229978,0.008322377947994,2270.394189526406080,0.011003176170999,10213.676442400006636,0.049499281564296,157425.081593510927632,0.762940600578534,6980.946432996620388,0.033832267452460,5608.142901883883496,0.027179150046379,6447.000000000000000,11511.000000000000000,6846.000000000000000,14471.000000000000000,31251.000000000000000,3491.000000000000000,8024.000000000000000,1935.000000000000000,12.000000000000000,151.000000000000000,1772.000000000000000,7323.000000000000000,583.000000000000000,1689.000000000000000,5051.000000000000000,7170.000000000000000,1783.000000000000000,1958.000000000000000,3429.000000000000000,22502.000000000000000,12123.000000000000000,8185.000000000000000,2194.000000000000000,101470.000000000000000,10887.000000000000000,112357.000000000000000,93283.000000000000000,19074.000000000000000,6329.000000000000000,93283.000000000000000,13192.000000000000000,523.000000000000000,587.000000000000000,404.000000000000000,412.000000000000000,170.000000000000000,550.000000000000000,2695.000000000000000,541.000000000000000,48677,4086,693,479,609,,,,,,,,,,,,,,,,,,,{d613aa64-1cac-4e82-83ec-b14200824425}
Lake County,644356,703462,702890.000000000000000,201533.000000000000000,126082.000000000000000,143733.000000000000000,145861.000000000000000,50001.000000000000000,24231.000000000000000,11449.000000000000000,37.799999999999997,445468.000000000000000,146608.000000000000000,46668.000000000000000,48172.000000000000000,15974.000000000000000,685017.000000000000000,545839.000000000000000,379883.000000000000000,343717.000000000000000,25717.000000000000000,165956.000000000000000,21938.000000000000000,326810.000000000000000,269150.000000000000000,27763.000000000000000,15069.000000000000000,11117.000000000000000,3711.000000000000000,9764005.0,11162.000000000000000,68421.000000000000000,107769.000000000000000,55924.000000000000000,452827.000000000000000,46165.000000000000000,94844.000000000000000,85420.000000000000000,28530.000000000000000,117263.000000000000000,80605.000000000000000,32826.000000000000000,42986.000000000000000,39022.000000000000000,30351.000000000000000,41993.000000000000000,56098.000000000000000,79886.000000000000000,243276.000000000000000,178807.000000000000000,64469.000000000000000,18439.000000000000000,261715.000000000000000,176566.000000000000000,28614.000000000000000,6795.000000000000000,7587.000000000000000,37764.000000000000000,6.300000000000000,42426.000000000000000,131919.000000000000000,64737.000000000000000,22633.000000000000000,1981.000000000000000,23967.000000000000000,61250.000000000000000,90190.000000000000000,68685.000000000000000,17623.000000000000000,45415.000000000000000,61625.000000000000000,37508.000000000000000,31313.000000000000000,246700.000000000000000,300916.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Professional,40390.000000000000000,33155.000000000000000,32773.000000000000000,26663.000000000000000,25562.000000000000000,307455.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Administration,51833.000000000000000,35695.000000000000000,32918.000000000000000,28168.000000000000000,26634.000000000000000,Lake County,Cook County,DuPage County,McHenry County,Kane County,146847.000000000000000,103704.000000000000000,16072.000000000000000,7475.000000000000000,4501.000000000000000,Lake County,Cook County,McHenry County,DuPage County,Kane County,146847.000000000000000,81894.000000000000000,19589.000000000000000,10667.000000000000000,7748.000000000000000,31.799209999999999,22.272510000000000,54.071719999999999,40.384200000000000,13.168690000000000,53.552889999999998,56.257339999999999,31.765830000000001,88.023169999999993,39.049720000000001,21.439370000000000,60.489089999999997,273823,262027,284927,23215,12578587159.000000000000000,19966206603.000000000000000,3773485288.000000000000000,986650294.000000000000000,36302923,139161272,0,24901806380.000000000000000,55,9.014034913123661,301189.148798537789844,98707.410744691922446,0.327725653923596,3364.982288684484047,0.011172322449556,146.348751865737711,0.000485903135785,12151.292273131492038,0.040344389303545,11662.375998338497084,0.038721102818147,7926.644696359380760,0.026317829603023,49366.672587536879291,0.163905880356127,42416.238877173782384,0.140829239852680,56368.888218452797446,0.187154445780374,19078.294362302891386,0.063343232777168,53646.000000000000000,75780.000000000000000,41223.000000000000000,72627.000000000000000,178965.000000000000000,20332.000000000000000,64311.000000000000000,21025.000000000000000,722.000000000000000,1542.000000000000000,18761.000000000000000,50692.000000000000000,5891.000000000000000,10553.000000000000000,34248.000000000000000,38657.000000000000000,10824.000000000000000,13279.000000000000000,14554.000000000000000,127899.000000000000000,80559.000000000000000,33775.000000000000000,13565.000000000000000,531739.000000000000000,128811.000000000000000,660550.000000000000000,475908.000000000000000,184642.000000000000000,68670.000000000000000,475908.000000000000000,111884.000000000000000,19597.000000000000000,7204.000000000000000,6914.000000000000000,1163.000000000000000,6035.000000000000000,7890.000000000000000,21724.000000000000000,2231.000000000000000,472968,92716,43580,24866,10226,,,,,,,,,,,,,,,,,,,{9e444506-3919-430b-adb7-e7765a755e68}
McHenry County,260077,308760,307083.000000000000000,84885.000000000000000,51679.000000000000000,66309.000000000000000,66873.000000000000000,23248.000000000000000,9908.000000000000000,4181.000000000000000,39.600000000000001,252800.000000000000000,37727.000000000000000,3759.000000000000000,8102.000000000000000,4695.000000000000000,305497.000000000000000,240033.000000000000000,170616.000000000000000,159419.000000000000000,11147.000000000000000,69417.000000000000000,9142.000000000000000,147469.000000000000000,129169.000000000000000,11081.000000000000000,4290.000000000000000,1741.000000000000000,1188.000000000000000,4986910.0,3616.000000000000000,27158.000000000000000,49679.000000000000000,29656.000000000000000,203847.000000000000000,15060.000000000000000,54761.000000000000000,48604.000000000000000,17650.000000000000000,45268.000000000000000,22504.000000000000000,13012.000000000000000,19690.000000000000000,19250.000000000000000,17623.000000000000000,22067.000000000000000,18467.000000000000000,79836.000000000000000,110109.000000000000000,86922.000000000000000,23187.000000000000000,7133.000000000000000,117242.000000000000000,90785.000000000000000,11363.000000000000000,2339.000000000000000,3008.000000000000000,9052.000000000000000,6.600000000000000,26471.000000000000000,58308.000000000000000,22121.000000000000000,10342.000000000000000,1987.000000000000000,6859.000000000000000,25877.000000000000000,46046.000000000000000,32019.000000000000000,6441.000000000000000,22347.000000000000000,45710.000000000000000,15681.000000000000000,2982.000000000000000,208500.000000000000000,145942.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19415.000000000000000,16702.000000000000000,14533.000000000000000,14363.000000000000000,10669.000000000000000,86212.000000000000000,Manufacturing,Retail Trade,Education,Health Care,Construction,14560.000000000000000,11414.000000000000000,10300.000000000000000,9332.000000000000000,6210.000000000000000,McHenry County,Cook County,Lake County,Kane County,DuPage County,47206.000000000000000,42253.000000000000000,19589.000000000000000,12785.000000000000000,10405.000000000000000,McHenry County,Cook County,Lake County,Kane County,DuPage County,47206.000000000000000,8092.000000000000000,7475.000000000000000,6452.000000000000000,2124.000000000000000,30.576020000000000,23.665700000000001,54.241720000000001,38.987099999999998,14.662380000000001,53.649479999999997,52.689850000000000,34.241639999999997,86.931500000000000,37.571129999999997,23.057860000000002,60.628979999999999,75126,74845,80857,26485,4151133465.000000000000000,6107631235.000000000000000,855140219.000000000000000,293998748.000000000000000,14643690,254714500,10321538,7536449930.000000000000000,n/a,11.225663829358361,391047.654834239277989,68159.661664339044364,0.174300141739071,583.433107885262984,0.001491974445244,100.137787740486047,0.000256075663676,4784.913692754878866,0.012236139594759,5003.634450321599616,0.012795459551963,8788.441823600756834,0.022474094179969,28118.753839719382086,0.071906207573700,220299.837280125240795,0.563358032088206,37565.647304374673695,0.096064116073777,17643.193883377862221,0.045117759089635,22606.000000000000000,37113.000000000000000,18953.000000000000000,31437.000000000000000,82034.000000000000000,7830.000000000000000,28075.000000000000000,8332.000000000000000,183.000000000000000,461.000000000000000,7688.000000000000000,22870.000000000000000,2821.000000000000000,4708.000000000000000,15341.000000000000000,19193.000000000000000,5855.000000000000000,6256.000000000000000,7082.000000000000000,57890.000000000000000,35856.000000000000000,16528.000000000000000,5506.000000000000000,261482.000000000000000,28287.000000000000000,289769.000000000000000,248247.000000000000000,41522.000000000000000,14963.000000000000000,248247.000000000000000,26021.000000000000000,4500.000000000000000,1056.000000000000000,1156.000000000000000,302.000000000000000,460.000000000000000,972.000000000000000,6585.000000000000000,470.000000000000000,233026,19602,1379,3734,2336,,,,,,,,,,,,,,,,,,,{4023eaea-2b31-4817-bfd7-ed2376938e42}
