GEOG,F2000_POP,F2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,GlobalID
Cook County,5376741.000000000000000,5194675.000000000000000,-182066.000000000000000,5236393.000000000000000,1332360.000000000000000,1216029.000000000000000,1054127.000000000000000,970994.000000000000000,477643.000000000000000,185240.000000000000000,35.899999999999999,2256002.000000000000000,1295026.000000000000000,1239171.000000000000000,352123.000000000000000,94071.000000000000000,5147238.000000000000000,4173224.000000000000000,2761294.000000000000000,2463655.000000000000000,296577.000000000000000,1411930.000000000000000,102231.000000000000000,2310522.000000000000000,1497683.000000000000000,208944.000000000000000,444730.000000000000000,130257.000000000000000,28908.000000000000000,3537179.000000000000000,3016875.000000000000000,1265223.000000000000000,463890.000000000000000,424589.000000000000000,328904.000000000000000,231125.000000000000000,258409.000000000000000,236042.000000000000000,55251.000000000000000,1942959.000000000000000,1107485.000000000000000,835474.000000000000000,233590.000000000000000,2176549.000000000000000,873073.000000000000000,114638.000000000000000,213338.000000000000000,245885.000000000000000,714143.000000000000000,5.100000000000000,184204.000000000000000,542204.000000000000000,777968.000000000000000,672173.000000000000000,1958.000000000000000,441334.000000000000000,692164.000000000000000,695827.000000000000000,261922.000000000000000,85302.000000000000000,313979.000000000000000,447609.000000000000000,219756.000000000000000,114241.000000000000000,218700.000000000000000,2104183.000000000000000,Health Care,Retail Trade,Education,Professional,Manufacturing,291662.0,205288.0,203262.0,180856.0,177385.0,2348313.000000000000000,Health Care,Retail Trade,Education,Professional,Accommodation and Food Service,322986.0,226687.0,219107.0,217326.0,185784.0,Cook County,DuPage County,Lake County,Will County,Kane County,1654603.0,181866.0,79007.0,46790.0,33502.0,Cook County,DuPage County,Will County,Lake County,Kane County,1654603.0,172470.0,106219.0,100797.0,61200.0,29.95518,18.27696,48.23213,38.09548,9.219,47.31448,51.08278,24.70505,75.78783,36.59955,16.80863,53.40819,2176451.0,24406.0,1.1340840921077395,15073.000000000000000,70705972394.000000000000000,86012268532.000000000000000,38707818491.000000000000000,7627094084.000000000000000,362982426.000000000000000,4686886.000000000000000,0.000000000000000,133000000000.000000000000000,72,18.827547142399396,612992.255598458927125,180985.679367670149077,0.295249536539373,30674.096349296010885,0.050039941074540,2482.543249881023712,0.004049877020807,32479.668191983149882,0.052985446219502,35382.882012415902864,0.057721580801819,36258.874037537738332,0.059150623366585,157150.942934879392851,0.256366930413263,15375.514815761156569,0.025082722783749,98588.436063630200806,0.160831454497544,23613.618575404110743,0.038521887282818,{b9ed49a2-4f5c-4fc2-b287-223b77ce3713}
DuPage County,904161.000000000000000,916924.000000000000000,12763.000000000000000,930412.000000000000000,245897.000000000000000,175819.000000000000000,190925.000000000000000,197408.000000000000000,88262.000000000000000,32101.000000000000000,38.799999999999997,638010.000000000000000,129549.000000000000000,42526.000000000000000,100181.000000000000000,20146.000000000000000,917990.000000000000000,736804.000000000000000,516237.000000000000000,479592.000000000000000,36311.000000000000000,220567.000000000000000,24244.000000000000000,446304.000000000000000,367120.000000000000000,35595.000000000000000,30269.000000000000000,9518.000000000000000,3802.000000000000000,627482.000000000000000,579645.000000000000000,293166.000000000000000,42209.000000000000000,61051.000000000000000,56810.000000000000000,47261.000000000000000,62654.000000000000000,68098.000000000000000,79658.000000000000000,338083.000000000000000,248508.000000000000000,89575.000000000000000,18933.000000000000000,357016.000000000000000,213557.000000000000000,43691.000000000000000,2441.000000000000000,11585.000000000000000,84942.000000000000000,6.200000000000000,33997.000000000000000,205817.000000000000000,96630.000000000000000,20572.000000000000000,1977.000000000000000,42816.000000000000000,88113.000000000000000,119867.000000000000000,86014.000000000000000,20206.000000000000000,35315.000000000000000,103530.000000000000000,73233.000000000000000,33711.000000000000000,278500.000000000000000,438737.000000000000000,Health Care,Retail Trade,Professional,Manufacturing,Education,51968.0,44063.0,42620.0,41236.0,38695.0,566812.000000000000000,Health Care,Retail Trade,Professional,Wholesale Trade,Manufacturing,62022.0,58733.0,56004.0,53729.0,53510.0,DuPage County,Cook County,Kane County,Will County,Lake County,193126.0,172470.0,22130.0,16465.0,10537.0,DuPage County,Cook County,Will County,Kane County,Lake County,193126.0,181866.0,58269.0,44695.0,15718.0,32.22849,20.84434,53.07283,41.40158,11.63052,53.0321,55.21277,29.23816,84.45094,39.44489,19.78022,59.22511,544363.0,24522.0,4.71721160893427,21800.000000000000000,20274952381.000000000000000,25583305234.000000000000000,5728648276.000000000000000,2546924540.000000000000000,39270054.000000000000000,2148686.000000000000000,0.000000000000000,33900296790.000000000000000,43,44.960940104700654,215303.803916832635878,74340.234635624714429,0.345280637328362,5236.495719772616212,0.024321426860602,27.057202716446128,0.000125669877746,12971.730892836150815,0.060248498432693,15774.336812717587236,0.073265481267627,12030.192968792294778,0.055875431599152,43132.803779019770445,0.200334610881659,3734.352048861759158,0.017344570699291,41832.198204694745073,0.194293818519127,6224.401651796541955,0.028909854533740,{dee3d658-1fac-4834-924d-63f042d51e62}
Kane County,404119.000000000000000,515269.000000000000000,111150.000000000000000,524886.000000000000000,158271.000000000000000,97675.000000000000000,112464.000000000000000,97541.000000000000000,45139.000000000000000,13796.000000000000000,35.899999999999999,305352.000000000000000,163756.000000000000000,27673.000000000000000,19321.000000000000000,8784.000000000000000,519190.000000000000000,397542.000000000000000,276637.000000000000000,255530.000000000000000,21010.000000000000000,120905.000000000000000,11908.000000000000000,238687.000000000000000,200267.000000000000000,25416.000000000000000,6671.000000000000000,4331.000000000000000,2002.000000000000000,334407.000000000000000,276388.000000000000000,105686.000000000000000,25403.000000000000000,34275.000000000000000,31175.000000000000000,24082.000000000000000,31438.000000000000000,26106.000000000000000,70696.000000000000000,172479.000000000000000,126903.000000000000000,45576.000000000000000,10905.000000000000000,183384.000000000000000,126734.000000000000000,20076.000000000000000,7284.000000000000000,7466.000000000000000,20608.000000000000000,6.200000000000000,41931.000000000000000,71506.000000000000000,40440.000000000000000,29507.000000000000000,1979.000000000000000,15889.000000000000000,45837.000000000000000,64173.000000000000000,47569.000000000000000,9916.000000000000000,33483.000000000000000,59389.000000000000000,26442.000000000000000,7305.000000000000000,213200.000000000000000,219049.000000000000000,Manufacturing,Health Care,Retail Trade,Education,Administration,28487.0,23897.0,23706.0,19188.0,17989.0,192135.000000000000000,Manufacturing,Health Care,Education,Retail Trade,Administration,30502.0,21816.0,21259.0,19178.0,18984.0,Kane County,Cook County,DuPage County,Lake County,McHenry County,74850.0,61200.0,44695.0,7721.0,6219.0,Kane County,Cook County,DuPage County,McHenry County,Kendall County,74850.0,33502.0,22130.0,12333.0,9497.0,30.6083,22.21555,52.82385,39.02244,13.09484,52.11728,52.64311,31.65156,84.29467,37.58724,21.36567,58.95291,171562.0,414.0,0.2418959029611798,24121.000000000000000,6940737022.000000000000000,9066517421.000000000000000,1680989128.000000000000000,1023930426.000000000000000,20041173.000000000000000,240884213.000000000000000,0.000000000000000,12032362361.000000000000000,n/a,63.228216537721281,335401.348909857973922,60707.445181789786147,0.180999406767757,1304.871072070318178,0.003890476518092,77.306058547168263,0.000230488215979,6524.313542818992573,0.019452257911379,9522.885897550366280,0.028392509238565,9880.196385778745025,0.029457831394811,33868.956190216631512,0.100980381564653,167974.075974094012054,0.500815147345274,33187.605665618371859,0.098948933191494,12353.692941373541544,0.036832567851997,{67587bac-b75d-492b-b409-14bdb94de794}
Kendall County,54544.000000000000000,114736.000000000000000,60192.000000000000000,120036.000000000000000,39018.000000000000000,23436.000000000000000,28795.000000000000000,19190.000000000000000,7840.000000000000000,1757.000000000000000,33.799999999999997,86912.000000000000000,19965.000000000000000,7664.000000000000000,3861.000000000000000,1634.000000000000000,119742.000000000000000,87815.000000000000000,65176.000000000000000,61270.000000000000000,3906.000000000000000,22639.000000000000000,2221.000000000000000,58021.000000000000000,51224.000000000000000,4426.000000000000000,1604.000000000000000,335.000000000000000,432.000000000000000,75012.000000000000000,70256.000000000000000,26132.000000000000000,3511.000000000000000,6124.000000000000000,7214.000000000000000,6886.000000000000000,8983.000000000000000,5798.000000000000000,84385.000000000000000,38516.000000000000000,31778.000000000000000,6738.000000000000000,2414.000000000000000,40930.000000000000000,30444.000000000000000,6540.000000000000000,424.000000000000000,628.000000000000000,2857.000000000000000,6.800000000000000,21282.000000000000000,13088.000000000000000,4510.000000000000000,2050.000000000000000,2000.000000000000000,1782.000000000000000,6980.000000000000000,16968.000000000000000,12744.000000000000000,2456.000000000000000,7616.000000000000000,19315.000000000000000,4252.000000000000000,573.000000000000000,200200.000000000000000,58534.000000000000000,Retail Trade,Health Care,Manufacturing,Education,Wholesale Trade,6875.0,6839.0,6159.0,6103.0,4094.0,24222.000000000000000,Education,Retail Trade,Manufacturing,Transportation,Accommodation and Food Service,4303.0,3899.0,3086.0,2309.0,2157.0,DuPage County,Cook County,Kane County,Kendall County,Will County,14259.0,13952.0,9497.0,7728.0,5764.0,Kendall County,Kane County,Will County,DuPage County,Cook County,7728.0,3215.0,3214.0,2118.0,2052.0,30.45137,24.13736,54.58874,38.98115,15.19916,54.18031,52.20119,35.07961,87.2808,37.28876,23.61634,60.9051,n/a,n/a,n/a,30402.000000000000000,1474168940.000000000000000,2142955920.000000000000000,297671045.000000000000000,77504415.000000000000000,3585712.000000000000000,116901452.000000000000000,0.000000000000000,2638618544.000000000000000,n/a,58.157106476362259,206339.892613050586078,20251.082992156378168,0.098144293552257,185.580425497715567,0.000899391887567,30.984963046184124,0.000150164675642,1656.764099958203587,0.008029296123872,1717.238572074229978,0.008322377947994,2270.394189526406080,0.011003176170999,10213.676442400006636,0.049499281564296,157425.081593510927632,0.762940600578534,6980.946432996620388,0.033832267452460,5608.142901883883496,0.027179150046379,{ec729ae6-97b5-47bc-b2ca-182161fd09d1}
Lake County,644356.000000000000000,703462.000000000000000,59106.000000000000000,702898.000000000000000,204679.000000000000000,124273.000000000000000,146829.000000000000000,144740.000000000000000,60796.000000000000000,21581.000000000000000,37.600000000000001,448118.000000000000000,145475.000000000000000,47253.000000000000000,47137.000000000000000,14915.000000000000000,685133.000000000000000,543597.000000000000000,378547.000000000000000,338959.000000000000000,29217.000000000000000,165050.000000000000000,21060.000000000000000,322901.000000000000000,265787.000000000000000,27084.000000000000000,14760.000000000000000,11194.000000000000000,4076.000000000000000,451898.000000000000000,403931.000000000000000,195118.000000000000000,33790.000000000000000,43385.000000000000000,39891.000000000000000,30291.000000000000000,41436.000000000000000,53633.000000000000000,78026.000000000000000,242426.000000000000000,179785.000000000000000,62641.000000000000000,18803.000000000000000,261229.000000000000000,175280.000000000000000,30293.000000000000000,6682.000000000000000,7369.000000000000000,37028.000000000000000,6.300000000000000,40820.000000000000000,133391.000000000000000,64490.000000000000000,22528.000000000000000,1980.000000000000000,23566.000000000000000,62203.000000000000000,89863.000000000000000,68049.000000000000000,17548.000000000000000,45495.000000000000000,62572.000000000000000,37866.000000000000000,30810.000000000000000,245300.000000000000000,292702.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Professional,39226.0,32709.0,31731.0,26773.0,24288.0,299491.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Administration,51550.0,35207.0,32288.0,28363.0,23150.0,Lake County,Cook County,DuPage County,McHenry County,Kane County,142576.0,100797.0,15718.0,6858.0,4466.0,Lake County,Cook County,McHenry County,DuPage County,Kane County,142576.0,79007.0,19248.0,10537.0,7721.0,31.79921,22.27251,54.07172,40.3842,13.16869,53.55289,56.25734,31.76583,88.02317,39.04972,21.43937,60.48909,280011.0,3899.0,1.4121081300341891,23215.000000000000000,12427831006.000000000000000,18742201521.000000000000000,3586175203.000000000000000,944060087.000000000000000,34447002.000000000000000,129826150.000000000000000,0.000000000000000,23436709963.000000000000000,55,80.194975968707823,301189.148798537789844,98707.410744691922446,0.327725653923596,3364.982288684484047,0.011172322449556,146.348751865737711,0.000485903135785,12151.292273131492038,0.040344389303545,11662.375998338497084,0.038721102818147,7926.644696359380760,0.026317829603023,49366.672587536879291,0.163905880356127,42416.238877173782384,0.140829239852680,56368.888218452797446,0.187154445780374,19078.294362302891386,0.063343232777168,{6eaac311-426d-4b4c-a35b-327aad532706}
McHenry County,260077.000000000000000,308760.000000000000000,48683.000000000000000,307357.000000000000000,86555.000000000000000,51165.000000000000000,68239.000000000000000,65748.000000000000000,27743.000000000000000,7907.000000000000000,39.299999999999997,253736.000000000000000,37205.000000000000000,3844.000000000000000,8005.000000000000000,4567.000000000000000,305776.000000000000000,238924.000000000000000,171104.000000000000000,157226.000000000000000,13756.000000000000000,67820.000000000000000,8493.000000000000000,145877.000000000000000,127297.000000000000000,11279.000000000000000,4476.000000000000000,1728.000000000000000,1097.000000000000000,202962.000000000000000,187517.000000000000000,65907.000000000000000,13411.000000000000000,19543.000000000000000,20143.000000000000000,17294.000000000000000,21802.000000000000000,17298.000000000000000,77222.000000000000000,109491.000000000000000,88257.000000000000000,21234.000000000000000,7281.000000000000000,116772.000000000000000,90458.000000000000000,11717.000000000000000,2240.000000000000000,3009.000000000000000,8618.000000000000000,6.600000000000000,26691.000000000000000,58017.000000000000000,21825.000000000000000,10239.000000000000000,1987.000000000000000,6794.000000000000000,25252.000000000000000,47110.000000000000000,31095.000000000000000,6521.000000000000000,22591.000000000000000,46117.000000000000000,16128.000000000000000,3184.000000000000000,208200.000000000000000,144141.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,19500.0,16570.0,14528.0,14109.0,10713.0,84430.000000000000000,Manufacturing,Retail Trade,Education,Health Care,Administration,15098.0,10785.0,10158.0,8962.0,6173.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.0,41786.0,19248.0,12333.0,10209.0,McHenry County,Cook County,Lake County,Kane County,DuPage County,46507.0,7646.0,6858.0,6219.0,2107.0,30.57602,23.6657,54.24172,38.9871,14.66238,53.64948,52.68985,34.24164,86.9315,37.57113,23.05786,60.62898,78116.0,-2686.0,-3.3241751441795997,26485.000000000000000,4076387390.000000000000000,5711573628.000000000000000,817005856.000000000000000,282628575.000000000000000,14628932.000000000000000,239586973.000000000000000,10507731.000000000000000,7075931695.000000000000000,n/a,122.221544667519112,391047.654834239277989,68159.661664339044364,0.174300141739071,583.433107885262984,0.001491974445244,100.137787740486047,0.000256075663676,4784.913692754878866,0.012236139594759,5003.634450321599616,0.012795459551963,8788.441823600756834,0.022474094179969,28118.753839719382086,0.071906207573700,220299.837280125240795,0.563358032088206,37565.647304374673695,0.096064116073777,17643.193883377862221,0.045117759089635,{5f24b729-0c5c-4a47-a121-0d2f9c803e65}
Will County,502266.000000000000000,677560.000000000000000,175294.000000000000000,683995.000000000000000,204934.000000000000000,121725.000000000000000,155999.000000000000000,128319.000000000000000,55632.000000000000000,17386.000000000000000,36.600000000000001,448959.000000000000000,111709.000000000000000,74943.000000000000000,33994.000000000000000,14390.000000000000000,675572.000000000000000,521187.000000000000000,361907.000000000000000,333433.000000000000000,28218.000000000000000,159280.000000000000000,13211.000000000000000,313862.000000000000000,274272.000000000000000,20320.000000000000000,12867.000000000000000,2769.000000000000000,3634.000000000000000,437079.000000000000000,395596.000000000000000,144415.000000000000000,29305.000000000000000,39612.000000000000000,41066.000000000000000,34043.000000000000000,44912.000000000000000,34702.000000000000000,76101.000000000000000,223640.000000000000000,182276.000000000000000,41364.000000000000000,15592.000000000000000,239232.000000000000000,177835.000000000000000,28614.000000000000000,4987.000000000000000,5853.000000000000000,18319.000000000000000,6.400000000000000,66105.000000000000000,110802.000000000000000,43988.000000000000000,18337.000000000000000,1990.000000000000000,14386.000000000000000,47768.000000000000000,98536.000000000000000,66094.000000000000000,12448.000000000000000,45532.000000000000000,91736.000000000000000,36172.000000000000000,8557.000000000000000,209800.000000000000000,304479.000000000000000,Health Care,Retail Trade,Education,Manufacturing,Professional,38319.0,34289.0,29829.0,28701.0,21715.0,206593.000000000000000,Retail Trade,Health Care,Education,Manufacturing,Wholesale Trade,25130.0,22644.0,22206.0,21855.0,16877.0,Cook County,Will County,DuPage County,Kane County,Lake County,106219.0,94189.0,58269.0,9442.0,4904.0,Will County,Cook County,DuPage County,Kane County,Kendall County,94189.0,46790.0,16465.0,6152.0,5764.0,31.12459,22.99297,54.11756,39.77915,13.95851,53.73766,54.34335,33.10088,87.44423,38.31954,22.29183,60.61137,182500.0,49068.0,36.77378739732598,26430.000000000000000,9292879860.000000000000000,13290685113.000000000000000,2145743747.000000000000000,2681372100.000000000000000,73130255.000000000000000,270201797.000000000000000,2650.000000000000000,18461135662.000000000000000,20,93.028242496211590,543442.167871001991443,85192.696341901624692,0.156764972206066,1204.310206527819673,0.002216077952224,109.797129704918206,0.000202040136368,10018.972254331960357,0.018436133312184,13344.787092733766258,0.024556039044621,19823.656019568788906,0.036477949617400,66699.569464124273509,0.122735358806306,255697.945199789857725,0.470515466625485,63630.852726196244475,0.117088544997304,27719.581436122760351,0.051007417302042,{ea09e55a-9b92-48a3-926b-6c4329c976f2}
CMAP Region,8146264.000000000000000,8431386.000000000000000,285122.000000000000000,8505977.000000000000000,2271714.000000000000000,1810122.000000000000000,1757378.000000000000000,1623940.000000000000000,763055.000000000000000,279768.000000000000000,36.500000000000000,4437089.000000000000000,1902685.000000000000000,1443074.000000000000000,564622.000000000000000,158507.000000000000000,8370641.000000000000000,6699093.000000000000000,4530902.000000000000000,4089665.000000000000000,428995.000000000000000,2168191.000000000000000,183368.000000000000000,3836174.000000000000000,2783650.000000000000000,333064.000000000000000,515377.000000000000000,160132.000000000000000,43951.000000000000000,5666019.000000000000000,4930208.000000000000000,2095647.000000000000000,611519.000000000000000,628579.000000000000000,525203.000000000000000,390982.000000000000000,469634.000000000000000,441677.000000000000000,63441.000000000000000,3067594.000000000000000,1964992.000000000000000,1102602.000000000000000,307518.000000000000000,3375112.000000000000000,1687381.000000000000000,255569.000000000000000,237396.000000000000000,281795.000000000000000,886515.000000000000000,6.000000000000000,415030.000000000000000,1134825.000000000000000,1049851.000000000000000,775406.000000000000000,1967.000000000000000,546567.000000000000000,968317.000000000000000,1132344.000000000000000,573487.000000000000000,154397.000000000000000,504011.000000000000000,830268.000000000000000,413849.000000000000000,198381.000000000000000,224246.000000000000000,3561825.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3721996.000000000000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3433003.0,99623.0,2.988648158925775,16723.000000000000000,125192928993.000000000000000,160549507369.000000000000000,52964051746.000000000000000,15183514227.000000000000000,548085554.000000000000000,1004236157.000000000000000,10510381.000000000000000,230545055015.000000000000000,n/a,39.754936395426846,2605716.272541979327798,588344.210928173619322,1.578464642056531,42553.769169734223397,0.094031611187830,2974.175143501963703,0.005500218726013,80587.654947814837215,0.211732160897952,92408.140836151942494,0.243774550670764,96978.400121164129814,0.240756935931898,388551.375237896339968,0.965728651160020,862923.045789316645823,2.480885779973192,338154.574615963676479,0.888213580512087,112240.925752261595335,0.290911868883768,{b92d45d5-485f-43ba-acae-8223745deacf}
